2016-05-10 02:42:31,38,0,2,107,159,13,348,4,-5355,346,104,96,57,47,30,24,-18,-44,-48,7,19,-10,-14,31,14,-24,-7,15,0,144,103,24,177,5,40,858,26,61,18,3,809,55,-169,105,-72,50,-27,22,-16,11,-6,5,-2,2,-1,4,-4,3,-1,2
2016-05-10 02:42:33,104,0,2,150,153,57,230,13,-5036,291,33,71,53,44,5,60,-9,-56,-49,27,11,-21,-17,32,7,-15,-11,18,0,120,494,93,180,24,156,666,23,65,43,3,474,101,-201,189,-158,124,-88,73,-54,31,-16,6,-3,-1,12,-11,5,-0,-1,2
2016-05-10 02:42:36,171,0,3,200,163,129,199,26,-4750,211,7,35,71,57,-27,86,-16,-73,-68,49,32,-42,-20,49,-20,-6,-10,48,0,96,827,48,309,24,264,413,18,83,64,4,500,70,-228,283,-282,225,-159,128,-101,82,-72,52,-49,33,-2,-1,-6,4,-1,2
2016-05-10 02:42:38,190,0,3,218,178,139,208,30,-4773,202,35,0,53,73,-8,52,-7,-18,-77,-2,26,-16,3,16,-4,18,-17,10,0,132,302,33,399,32,96,359,18,141,34,12,673,85,-219,282,-295,236,-174,129,-83,63,-42,18,-12,0,4,4,-12,9,-1,2
2016-05-10 02:42:40,190,0,3,218,175,142,199,29,-4765,193,40,22,45,60,-8,81,-33,-45,-61,49,24,-40,-24,49,-3,-23,-11,38,0,146,628,48,310,21,259,522,30,148,46,9,368,110,-226,296,-310,247,-174,133,-95,74,-63,36,-26,6,17,-11,3,3,-1,2
2016-05-10 02:42:43,156,0,3,207,175,131,243,26,-4665,188,33,50,58,69,-12,48,-5,-27,-73,21,20,-8,4,20,-5,7,-20,14,0,146,239,46,358,36,56,759,51,133,61,14,554,117,-217,276,-283,222,-156,116,-82,67,-54,33,-26,14,-8,13,-14,11,-1,2
2016-05-10 02:42:45,193,0,3,234,185,145,187,30,-4738,169,40,32,75,59,-13,77,-25,-74,-65,47,32,-32,-19,35,-1,-12,-10,45,0,117,774,29,255,30,308,483,34,87,60,3,391,116,-195,234,-241,196,-153,124,-88,68,-57,39,-42,34,-17,15,-12,7,-1,2
2016-05-10 02:42:47,208,0,3,251,204,158,170,39,-4667,184,69,-36,50,53,13,75,-14,-40,-75,34,24,-19,-16,24,-4,-6,-13,28,0,193,365,29,461,20,180,512,17,83,38,6,411,49,-191,244,-285,237,-181,143,-89,68,-55,38,-40,29,-18,19,-11,5,-1,2
2016-05-10 02:42:50,178,0,3,233,192,147,179,33,-4722,187,46,-1,66,54,1,67,-27,-63,-71,33,28,-29,-25,41,4,-11,-8,30,0,171,513,51,288,19,301,470,41,107,51,5,515,76,-192,233,-247,191,-136,108,-67,46,-40,26,-37,36,-21,23,-18,11,-1,2
2016-05-10 02:42:52,236,0,3,255,193,171,172,37,-4643,155,65,-1,52,41,-5,69,-10,-44,-71,27,23,-30,-7,39,-5,-9,-19,32,0,164,371,25,396,28,66,443,26,107,37,17,496,79,-197,262,-293,242,-182,129,-77,60,-56,51,-63,56,-42,38,-23,12,-1,2
