@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute MFCC14 numeric
@attribute MFCC15 numeric
@attribute MFCC16 numeric
@attribute MFCC17 numeric
@attribute MFCC18 numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute LPC10 numeric
@attribute LPC11 numeric
@attribute LPC12 numeric
@attribute LPC13 numeric
@attribute LPC14 numeric
@attribute arousal {-2,-1,0,1,2}

@data
0.5415543,1.4292649,0.6920233,0.516309,0.487955,0.5512786,1.038498,0.3827839,0.4535011,0.5549972,0.4484481,0.144447,0.3688263,0.6970701,0.3702533,0.5601222,0.7191199,0.5492883,0.455185,0.3009501,0.304042,0.5610821,0.7183965,0.7556184,0.4621603,0.2721832,0.3835725,0.2044171,0.8317547,0.3708469,0.4160949,0.3069695,0.1442115,0.3749961,0.0679016,0.3363145,0.2242146,0.409534,0.6306903,0.2834182,0.6478033,0.3628756,0.6672915,0.0968301,0.7515025,0.2085268,0.6319224,0.4167326,0.7202424,0.253341,0.6427016,2
0.6733397,1.0517301,0.840773,0.5333797,0.5205065,0.7433899,0.9668123,0.3259939,0.5296901,0.5684846,0.5993924,0.2817008,0.2456357,0.627054,0.5622347,0.6564556,0.7486375,0.5991881,0.5445256,0.4545134,0.4477802,0.672707,0.5827234,0.5988184,0.367638,0.4856826,0.3108062,0.1324228,0.7980192,0.2174736,0.4686674,0.5832974,0.3471474,0.1829316,0.0489844,0.3184222,0.2198456,0.5342242,0.5923825,0.2627001,0.6023361,0.2654659,0.6862584,0.1537173,0.8081102,0.1805087,0.7439203,0.283144,0.8551899,0.1035904,0.9921497,2
0.3518747,1.2309922,0.5758558,0.2206894,0.6374008,0.3844451,0.923105,0.3311737,0.6558309,0.7053598,0.386113,0.3830865,0.202042,0.6005431,0.687143,0.5234272,0.6181266,0.3983644,0.4333276,0.5303774,0.6183732,0.7601739,0.6750139,0.664317,0.3048149,0.3164797,0.2859215,0.2892466,0.1974532,0.0389186,0.3042947,0.2245139,0.2589283,0.1140064,0.0656932,0.3659348,0.2188152,0.4199353,0.6157175,0.3711774,0.4407413,0.3611214,0.6675666,0.2397615,0.8795223,0.1573395,0.5167359,0.4533653,0.7976336,0.1577189,0.7650029,2
0.4897543,1.8548757,0.5798433,0.450974,0.4947161,0.4784785,0.9929793,0.3856504,0.3458468,0.6296056,0.6726994,0.4759025,0.1927823,0.3534882,0.3615982,0.6413407,0.673496,0.4605344,0.3334777,0.3787564,0.4772699,0.6959248,0.8127972,0.7222099,0.3953564,0.0698532,0.3586566,0.2101555,0.596623,0.1326207,0.2953252,0.7178954,0.2600469,0.2656687,0.0770755,0.5355284,0.3331089,0.4391868,0.5152694,0.5462801,0.3735469,0.4967451,0.5214259,0.2461334,0.703958,0.1966284,0.6602478,0.558171,0.5566876,0.2124556,0.8751633,2
0.4608072,1.2876542,0.4888938,0.4744361,0.499069,0.4997118,0.9615187,0.4247916,0.4079027,0.6607266,0.6814966,0.5569513,0.2593817,0.7101304,0.470201,0.6059206,0.7746656,0.6156023,0.436846,0.272356,0.4177367,0.6268086,0.6324408,0.6843435,0.3455325,0.1935968,0.3989795,0.0881471,0.6292269,0.2320792,0.4517644,0.3411441,0.316071,0.243099,0.0723326,0.4488068,0.1769868,0.3196793,0.6453437,0.4759604,0.379749,0.4610137,0.5426045,0.3245811,0.5798453,0.2010164,0.5830374,0.5786974,0.683792,0.2335174,0.7457933,2
0.6832427,1.3978833,1.0583114,0.4637189,0.4688254,0.8475344,0.982163,0.3391174,0.6055035,0.5756193,0.5712977,0.2715566,0.1841798,0.5115584,0.5527327,0.6664596,0.7751621,0.6483127,0.6160807,0.5253474,0.4726385,0.6294821,0.5425104,0.7084875,0.3489926,0.1993582,0.3315514,0.2826547,0.6236595,0.244049,0.4956579,0.4230508,0.2132737,0.3091867,0.0668248,0.2375923,0.2145772,0.7450372,0.3598631,0.3566847,0.574782,0.4757244,0.6289328,0.1860464,0.7688441,0.1907585,0.5623499,0.4813812,0.6116002,0.2798514,0.9998248,2
0.2985511,1.450287,0.4416422,0.2451606,0.5814949,0.3591672,0.902414,0.4404999,0.5673541,0.7495636,0.6181289,0.4008711,0.243751,0.6216005,0.6258087,0.7378352,0.7401836,0.5148449,0.446889,0.3569997,0.3967349,0.6174738,0.6403933,0.7212504,0.2472782,0.1726517,0.265698,0.1048737,0.4082081,0.1237548,0.3050773,0.3260391,0.2299883,0.2822479,0.0533914,0.5817004,0.2070893,0.3902896,0.5628263,0.5071533,0.3798529,0.498429,0.540809,0.2432454,0.7071286,0.210136,0.4761603,0.5668779,0.6997425,0.2613057,0.8232785,2
0.8394046,0.955153,0.9381401,0.569033,0.5999146,1.1225569,0.9367249,0.3225979,0.4656201,0.6150004,0.5619624,0.4691655,0.3173115,0.5293561,0.5686022,0.698717,0.6938259,0.5141782,0.4624945,0.4019796,0.4360602,0.7260522,0.6170873,0.6060785,0.4619467,0.264681,0.6614939,0.1343884,0.2695459,0.2359071,0.3642369,0.3924377,0.5423485,0.1583812,0.1319525,0.3813709,0.2247126,0.6309791,0.4209192,0.478806,0.4365277,0.4348851,0.6285102,0.10676,0.8677115,0.1661632,0.678501,0.45689,0.6741591,0.1249522,1.034032,2
0.4920396,1.0017287,0.4305113,0.4281859,0.5532089,0.5270119,0.8732634,0.4442699,0.3789865,0.7658593,0.8135551,0.4847139,0.2898732,0.7185234,0.4956836,0.6065278,0.6927065,0.5919155,0.602021,0.4462773,0.4677748,0.687731,0.6776146,0.6267133,0.3826338,0.2425127,0.562047,0.1308347,0.5702857,0.1911112,0.4479834,0.714002,0.2227351,0.0832694,0.0351791,0.4545851,0.1889674,0.3091611,0.6279362,0.5213813,0.3797798,0.458843,0.5002457,0.2555704,0.6434269,0.219557,0.5730305,0.6632069,0.5340157,0.3256059,0.795402,2
0.9506224,2.3052719,0.964066,0.5694292,0.491544,1.0507679,1.0086738,0.3235606,0.5427343,0.6052564,0.5288065,0.346891,0.3155686,0.5701892,0.4505392,0.504915,0.580909,0.5353593,0.4990633,0.3408834,0.3257386,0.591814,0.6719684,0.7882443,0.5564925,0.3052056,0.14642,0.1343658,0.3462688,0.5643371,0.3177659,0.4189207,0.1113012,0.1588522,0.0860441,0.3429993,0.1623604,0.7401274,0.3235587,0.4819102,0.472598,0.4831817,0.5720598,0.2371671,0.7184459,0.2224124,0.4767164,0.6675298,0.513629,0.3401649,0.7055679,2
0.5369837,1.4874864,0.69553,0.3594069,0.5475968,0.5613897,0.9312984,0.3441335,0.5810824,0.6881175,0.5554384,0.2084788,0.1075762,0.3572545,0.34148,0.4886421,0.5929636,0.5468675,0.6221845,0.5330194,0.5708529,0.7971732,0.7619554,0.753575,0.2335478,0.1920324,0.2973091,0.3639838,0.2790474,0.1327799,0.2964924,0.2703474,0.1582286,0.159565,0.0793841,0.3041226,0.2183095,0.5322916,0.5032134,0.460681,0.4089187,0.4309531,0.5703016,0.2178328,0.7726462,0.1955814,0.5367322,0.6077379,0.5766389,0.3638696,0.7448124,2
0.8767311,1.0240801,1.0307103,0.6024011,0.601616,1.1063791,0.954553,0.3382225,0.5092537,0.5923562,0.6109396,0.5222817,0.4067418,0.5620213,0.4003786,0.6511426,0.7247835,0.5313035,0.4324657,0.259,0.336815,0.7369619,0.7630357,0.7123863,0.3583612,0.1788834,0.1698363,0.0617026,0.5362096,0.2767291,0.3688989,0.5844301,0.2474499,0.1780939,0.0589198,0.4164254,0.2553987,0.675409,0.4717907,0.304263,0.5557428,0.3071292,0.7315706,0.1740511,0.7314133,0.2246502,0.6306758,0.3640936,0.7568897,0.1394076,0.8153457,2
0.4768042,1.1638616,0.5555866,0.3457008,0.5956128,0.5078007,0.871613,0.3318927,0.5028309,0.8477419,0.6334077,0.4593028,0.4215748,0.4119215,0.5233141,0.5730462,0.574957,0.4870252,0.477837,0.4476208,0.5249087,0.7666252,0.7545714,0.7042531,0.2616183,0.2086967,0.634186,0.1845514,0.1633965,0.0834203,0.2997036,0.7336224,0.2081727,0.0651975,0.2281089,0.4853274,0.1664819,0.3981357,0.6026071,0.4813577,0.3440364,0.4737919,0.4889985,0.2410358,0.8190955,0.2165526,0.4371757,0.613805,0.6170189,0.289176,0.7525491,2
0.5087984,0.5120034,0.5872125,0.3632647,0.6198389,0.5795897,0.8453643,0.3578836,0.541609,0.7586567,0.5918268,0.2883005,0.3790666,0.6588646,0.570745,0.6431205,0.6862042,0.6524586,0.5661964,0.4776433,0.5017164,0.6339863,0.687832,0.6718445,0.2803533,0.2544129,0.4994045,0.1940955,0.265564,0.1296825,0.3407804,0.2226534,0.2155909,0.1805192,0.0827733,0.4078893,0.188472,0.3909633,0.6495232,0.4218528,0.3194645,0.4815564,0.5087934,0.2211161,0.8295795,0.2171275,0.5875781,0.5646944,0.6288137,0.1566644,0.8074414,2
0.6779103,1.4672875,0.880237,0.5200859,0.6873063,0.6523898,0.9608011,0.42179,0.4173652,0.6957892,0.5673103,0.3722534,0.4018692,0.4370106,0.4107389,0.6617041,0.7126847,0.5605587,0.4920114,0.3530297,0.4639368,0.6703335,0.5896257,0.576178,0.4555176,0.2007254,0.2622091,0.1795292,0.1335926,0.3482398,0.4610641,0.5070088,0.3452089,0.2232807,0.0492186,0.3389463,0.1513557,0.5901921,0.423753,0.4672059,0.5174745,0.4880931,0.4491432,0.3112166,0.6767387,0.251038,0.5446531,0.5302635,0.5545918,0.3213099,0.74181,2
0.6558191,1.233908,0.8187941,0.4675516,0.7023598,0.7949566,0.9037018,0.2864688,0.5887432,0.7227092,0.5484969,0.5101316,0.3553584,0.3967919,0.329792,0.593164,0.6245903,0.5017789,0.5842156,0.4692473,0.4658039,0.6866641,0.7025647,0.7307883,0.2821373,0.1685435,0.1879927,0.2683081,0.2114643,0.2479718,0.4199591,0.4754208,0.2575062,0.0846965,0.0320594,0.3563039,0.2033876,0.5760679,0.4973805,0.4107512,0.4333827,0.2726164,0.8318261,0.0987778,0.8366936,0.1809601,0.5572029,0.4953409,0.7123609,0.2339897,0.8260579,2
0.3427335,1.4616868,0.648841,0.1726077,0.7856101,0.4066895,0.872869,0.4014938,0.7130034,0.7224292,0.6212901,0.215649,0.0441828,0.4169887,0.6035532,0.588073,0.6246083,0.4443546,0.564531,0.4860417,0.5161676,0.6620592,0.7551688,0.7390542,0.2623979,0.2040836,0.127674,0.1746939,0.3715884,0.1049875,0.2754346,0.3139027,0.1160139,0.1054082,0.0506734,0.5356114,0.1495663,0.6319432,0.3884832,0.4552335,0.4632136,0.5034776,0.5964601,0.2838713,0.7162727,0.2189207,0.3496313,0.6807873,0.6066547,0.2835162,0.7340925,2
0.4531895,1.0479887,0.5441561,0.3083376,0.5627502,0.3814117,0.8959561,0.4364491,0.5627628,0.7531245,0.6766665,0.2184545,0.2250434,0.7134158,0.5994342,0.6847886,0.7021439,0.5563181,0.472726,0.4068003,0.3865381,0.5887714,0.6508344,0.7363687,0.2867773,0.2391022,0.2924001,0.137212,0.5849993,0.2417622,0.4796203,0.4969163,0.1331712,0.1231351,0.0462005,0.3693139,0.1982119,0.439729,0.5900491,0.3339315,0.5319839,0.5144399,0.5602433,0.2111063,0.7025604,0.1930814,0.4757497,0.7826583,0.4718492,0.3835204,0.6611234,2
0.6969545,0.7897292,0.9032971,0.4428641,0.6809421,0.7888899,0.8747824,0.3760451,0.5710501,0.6082626,0.59489,0.4199115,0.2821593,0.6425695,0.5845075,0.6240124,0.6995967,0.5601145,0.5338558,0.4356959,0.5050425,0.7102628,0.6821117,0.6445548,0.4248145,0.3066058,0.1827876,0.1931034,0.3501377,0.2631608,0.4492191,0.3450671,0.2118905,0.1243767,0.0583259,0.4014145,0.2127167,0.6820373,0.3740883,0.4600186,0.4542162,0.5345413,0.5280838,0.3015572,0.7175122,0.1842485,0.5466736,0.5309413,0.5815723,0.3463086,0.8475217,2
0.7677987,1.9074156,0.7302534,0.5781633,0.6085221,0.8546122,1.0196971,0.340611,0.3196527,0.6322362,0.6919092,0.4014143,0.1568546,0.5081189,0.4994635,0.6898018,0.6495884,0.447626,0.3534973,0.2464044,0.433219,0.8057996,0.7577435,0.6902878,0.3664757,0.3236536,0.2395706,0.1569746,0.5467811,0.2061036,0.3500886,0.5651173,0.4081795,0.1308014,0.0808696,0.3819366,0.3287494,0.4588539,0.5794979,0.3864135,0.5203596,0.4066698,0.5670778,0.2564866,0.6022235,0.2394479,0.5585939,0.5239361,0.6794774,0.2916563,0.713303,2
0.0601185,0.4967113,0.4528748,0.0580843,0.4571971,0.104367,0.7880148,0.4418665,0.7576753,0.9384795,0.8960364,0.5893365,0.4297979,0.7768028,0.837859,0.923023,0.818751,0.543671,0.571358,0.5956932,0.637092,0.6702806,0.6980802,0.8789656,-0.0215115,0.0424448,0.0328544,0.0516944,0.1121895,0.0086026,0.1090044,0.1518989,0.019931,0.0289062,0.0651168,0.8671145,0.0321796,0.7659733,0.1009678,0.8161012,0.204539,0.8584869,0.2528152,0.5263203,0.4050051,0.3734856,0.1361998,0.9415901,0.3575961,0.5368409,0.4063457,-2
0.1629569,0.6074187,0.3293667,0.1465187,0.6030009,0.2519894,0.8692328,0.588692,0.5999382,0.7891403,0.6094179,0.3752758,0.6068011,0.7313626,0.6748257,0.8657246,0.7527812,0.565309,0.5099364,0.555552,0.6786017,0.7923651,0.6933985,0.7678269,0.0464448,0.2832828,0.1636523,0.070955,0.0920441,0.0413402,0.1522292,0.438608,0.0910155,0.047044,0.0434113,0.7479897,0.0609115,0.4269864,0.4122119,0.7831375,0.1152755,0.751281,0.2694736,0.4427394,0.5751699,0.3803949,0.1204491,0.8372665,0.231268,0.5232014,0.5122749,-2
0.2574158,0.6553984,0.6196372,0.1456856,0.5064426,0.248956,0.8727842,0.553325,0.7376496,0.7471666,0.526535,0.3970659,0.5727966,0.7782588,0.8219559,0.8913674,0.7555597,0.5973526,0.4506005,0.5084405,0.6133864,0.7009318,0.7044801,0.7533157,0.0548128,0.2213034,0.0697174,0.0326955,0.1692858,0.068908,0.1446656,0.1286752,0.0461751,0.030732,0.0405192,0.8006087,0.1042048,0.6677061,0.2942439,0.529857,0.3747476,0.8922723,0.3305944,0.2741181,0.6575354,0.328193,0.335315,0.7466564,0.3792109,0.4273217,0.4314959,-2
0.1682892,0.5207667,0.5766926,0.1386771,0.4420053,0.212556,0.8318196,0.5163915,0.7243388,0.7086004,0.674613,0.5102897,0.6163672,0.7823982,0.7535776,0.9372984,0.7841842,0.5750838,0.4874329,0.6149272,0.6709717,0.7610098,0.7030104,0.7567457,-0.0194818,0.2079873,0.0678157,0.0100179,0.2088989,0.1165809,0.1205528,0.0758881,0.1730591,0.0205881,0.0455433,0.7908703,0.021596,0.7325916,0.212369,0.6260094,0.2822516,0.9126724,0.3003681,0.3843136,0.5889081,0.3455272,0.2377986,0.8135126,0.2094578,0.601751,0.4392498,-2
0.1621951,0.7186387,0.6581094,0.0943295,0.4683814,0.185256,0.8521609,0.4101839,0.8502539,0.8175455,0.6903193,0.5282502,0.5417089,0.883724,0.7787404,0.9332657,0.761066,0.6265946,0.4471637,0.5329465,0.5697584,0.6423411,0.7477014,0.9024685,-0.0166641,0.0361611,0.0688744,0.0333996,0.2069122,0.0100353,0.0997136,0.2249611,0.0357233,0.0310532,0.0653955,0.8362052,0.1056025,0.7708516,0.2535257,0.4684282,0.3549336,0.8988573,0.4112301,0.286382,0.6422936,0.3072597,0.4662274,0.6693187,0.4653134,0.3799844,0.3974946,-2
0.1941893,0.6985694,0.7543532,0.1129918,0.4405299,0.1963782,0.8651724,0.4777732,0.9295702,0.7015815,0.7243373,0.4631585,0.457045,0.6455586,0.6023258,0.9410412,0.7514279,0.5720798,0.4256045,0.5465677,0.606423,0.7451405,0.6984103,0.8739329,0.0203593,0.0454279,0.0302108,0.0087937,0.0808184,0.0052861,0.1015269,0.1389207,0.0317044,0.0118767,0.0342829,0.7979738,0.0431813,0.853752,0.1937233,0.4339289,0.3786116,1.0254405,0.2850837,0.5005338,0.5563745,0.3025934,0.3318093,0.7924198,0.306636,0.4733706,0.4295194,-2
0.1187745,0.6071653,0.3600293,0.1245858,0.4328211,0.2085115,0.8413241,0.4312501,0.7401923,0.8525869,0.7094728,0.559238,0.5201509,0.7501542,0.7574926,0.9589716,0.8168672,0.5459808,0.4600793,0.5578292,0.6594415,0.7057387,0.7418106,0.8384641,-0.006448,0.2115553,0.0413163,0.0114297,0.1788935,0.0750237,0.0757364,0.2824738,0.069206,0.0417869,0.0435326,0.7824332,0.0591187,0.5192624,0.4080355,0.6149491,0.1844392,0.8746199,0.2639632,0.5098701,0.489304,0.3522027,0.121681,0.968908,0.2507734,0.5157366,0.4714862,-2
0.2429422,0.8619891,0.5418548,0.2397623,0.3900973,0.2681672,0.9037232,0.5009142,0.6877332,0.7157757,0.7144128,0.5119678,0.5124337,0.5357643,0.5516138,0.9195997,0.7895931,0.6048397,0.4823717,0.4994484,0.5629194,0.7266444,0.7378997,0.8677716,0.0305881,0.0506921,0.0405338,0.0232487,0.163351,0.0344081,0.1309108,0.1829885,0.1372923,0.0307193,0.040543,0.8772368,0.0631832,0.6154768,0.3172696,0.5893396,0.3234092,0.8930993,0.3150841,0.2349214,0.661698,0.3219936,0.3062451,0.9197332,0.210011,0.443398,0.4456733,-2
0.0989686,0.5665845,0.3969655,0.0726478,0.7730518,0.1690782,0.839005,0.4844728,0.8666242,0.7632895,0.6272427,0.4133249,0.3810958,0.6729404,0.7829114,0.9432505,0.8193274,0.5797959,0.5272977,0.603301,0.6270899,0.7083536,0.6372451,0.8171213,0.0048653,0.1055012,0.0433893,0.018497,0.1272613,0.0165085,0.1396321,0.1131037,0.044628,0.0094594,0.0483046,0.8896307,0.0543935,0.6175737,0.3170012,0.620611,0.2023745,0.8895243,0.2679973,0.6213039,0.5179296,0.3254704,0.1526966,0.8180183,0.2306813,0.5735475,0.4887457,-2
0.1286774,0.5108548,0.2991794,0.1319336,0.4700898,0.2337893,0.8426626,0.4912568,0.7683985,0.7910481,0.5922843,0.6145706,0.3383423,0.7225715,0.7010223,0.8904449,0.8284685,0.6069847,0.5060181,0.5446741,0.561093,0.71843,0.7433354,0.8792835,0.0370157,0.0677403,0.0379928,0.049863,0.1103366,0.0332133,0.1204573,0.1628064,0.0369894,0.0206967,0.0316288,0.8477926,0.0833112,0.4602621,0.4847656,0.573489,0.1169278,0.8683081,0.4062821,0.4413634,0.5451155,0.3262456,0.0687526,0.9389844,0.2712624,0.5190369,0.4796254,-2
0.1164892,0.6608465,0.64257,0.0429729,0.6053728,0.2105338,0.7966133,0.4105696,0.8605813,0.8795025,0.8267316,0.458239,0.4375435,0.7485394,0.8456249,0.9358811,0.7830802,0.5574761,0.5164622,0.5782369,0.652492,0.7056138,0.7396542,0.8874937,-0.0292206,0.0848461,0.0472061,0.0566075,0.111561,0.0109826,0.0856603,0.0543315,0.0321987,0.0377783,0.0689765,0.8212742,0.0590243,0.8724528,0.0820232,0.6751741,0.2665122,0.9543203,0.2359948,0.5284845,0.5096552,0.3289328,0.1966028,0.9322434,0.3302267,0.4470605,0.5057741,-2
0.1324863,0.5366839,0.4665125,0.0804942,0.6103865,0.2135671,0.8570147,0.4600418,0.8974427,0.750585,0.5387925,0.3614639,0.2809718,0.7612996,0.8320844,0.9131674,0.7861581,0.6013123,0.4690211,0.5658242,0.5858051,0.7493753,0.7417559,0.8579578,0.0316331,0.0855844,0.112243,0.0230306,0.0850357,0.0244651,0.1103246,0.1163521,0.0318335,0.0276196,0.0297439,0.8181247,0.1363395,0.5927565,0.3752034,0.5520597,0.1854289,0.9065265,0.3989888,0.4013151,0.5815157,0.3395813,0.1671106,0.861237,0.320651,0.4684179,0.3988274,-2
