@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data
58,11,2,94,124,21,459,7,-37,4,0,0,0,0,0,0,0,0,-1,0,0,1,211,2,6,1,7,1,2,1,4,1,0,5,0,-180,83,-24,42,-32,23,-12,10,-17,2
59,9,3,91,119,33,441,8,-36,5,0,0,0,0,1,0,0,0,0,0,0,1,179,4,4,1,7,1,1,2,4,0,0,5,0,-197,113,-37,47,-42,27,-10,10,-17,2
69,16,3,109,141,44,494,8,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,256,1,5,4,7,1,2,1,2,0,0,4,1,-175,88,-40,50,-33,25,-22,23,-22,2
64,10,3,101,130,46,434,8,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,232,3,5,3,7,1,2,1,3,1,0,5,1,-199,125,-48,44,-29,21,-21,18,-10,2
30,2,2,60,104,5,183,4,-39,5,1,1,1,1,1,0,0,0,0,0,0,1,124,0,7,0,13,1,0,0,1,0,0,5,0,-179,63,1,31,-9,-11,1,8,-12,-2
34,2,2,60,92,10,237,5,-39,5,1,1,0,0,1,0,0,0,0,0,0,1,130,2,8,0,11,2,0,0,3,0,0,6,0,-192,80,4,28,-14,-16,7,9,-13,-2
32,1,2,60,105,5,408,4,-40,5,1,1,0,0,0,0,0,0,0,0,0,0,110,1,4,0,8,1,1,0,2,0,0,11,0,-167,49,-5,38,-7,-10,1,12,-15,-2
28,1,2,57,104,3,317,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,115,1,2,0,10,0,2,0,2,0,0,10,0,-171,56,-9,38,-9,-10,4,14,-20,-2
38,1,2,67,115,11,239,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,134,1,4,2,9,1,2,0,1,0,0,9,0,-162,46,-11,38,-7,-4,-2,13,-14,-2
34,1,2,60,102,11,309,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,112,2,2,1,8,0,2,0,2,0,0,12,0,-173,61,-13,41,-12,-7,1,13,-18,-2
33,2,2,62,107,11,272,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,114,0,1,1,12,0,3,0,1,0,0,10,0,-164,50,-17,41,-9,0,-3,12,-19,-2
35,1,2,61,102,17,367,5,-39,5,1,1,0,0,1,0,0,0,0,0,0,0,122,1,3,1,10,0,2,0,2,0,0,11,0,-183,71,1,27,-10,-13,7,10,-15,-2
39,1,2,64,101,21,280,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,0,125,1,1,1,8,0,3,0,1,0,0,12,0,-180,65,-4,35,-10,-9,1,11,-15,-2
32,1,2,58,102,7,258,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,117,0,1,1,11,1,2,0,1,0,0,9,0,-172,55,-2,35,-14,-5,6,8,-15,-2
35,1,2,57,90,11,256,5,-39,5,1,1,0,0,1,0,0,0,0,0,0,0,133,1,2,1,8,1,4,0,1,0,0,12,0,-186,73,-1,32,-12,-11,9,10,-20,-2
29,1,2,59,109,4,287,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,0,112,0,1,1,11,0,2,0,1,0,0,9,0,-164,48,-11,37,-7,-8,4,13,-16,-2
28,1,2,56,102,2,187,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,115,0,1,1,11,0,3,0,1,0,0,10,0,-173,62,-14,39,-11,-11,10,12,-23,-2
37,1,2,68,117,11,274,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,126,0,1,2,10,1,3,0,0,0,0,10,0,-163,51,-18,43,-8,-1,-5,14,-17,-2
28,1,2,55,103,3,258,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,113,0,2,0,12,1,1,0,0,0,0,10,0,-174,61,-8,33,-8,-12,12,11,-22,-2
