0.428759,0.133085,0.360526,-0.215738,0.139076,-0.689038,0.00344865,-0.0334484,-2,-1,0,0,-2,-1,38:41.5,0
0.42895,0.170703,0.344806,-0.228804,0.131023,-0.686126,0.0336614,0.0012515,-2,-1,0,0,-2,-1,39:03.2,0
0.433373,0.16243,0.345043,-0.226895,0.130434,-0.689539,-0.0298816,-0.0140913,-2,-1,0,0,-2,-1,39:06.0,0
0.434071,0.144573,0.33915,-0.23952,0.127734,-0.688161,0.013696,0.0147194,-2,-1,0,0,-2,-1,39:15.1,0
0.424986,0.172514,0.333369,-0.239304,0.120904,-0.690595,-0.067066,0.0143085,-2,-1,0,0,-2,-1,39:19.7,0
0.42635,0.208269,0.332114,-0.251807,0.117874,-0.687158,0.0290244,0.0179064,-2,-1,0,0,-2,-1,39:25.6,0
0.427832,0.169974,0.332493,-0.247719,0.122122,-0.694524,-0.00602148,-0.0135144,-2,-1,0,0,-2,-1,39:28.4,0
0.426302,0.177433,0.338539,-0.248051,0.120216,-0.684962,-0.0439293,0.0332839,-2,-1,0,0,-2,-1,39:31.2,0
0.425528,0.14106,0.329299,-0.248441,0.119789,-0.690992,0.00921099,0.00191548,-2,-1,0,0,-2,-1,39:34.0,0
0.430352,0.170245,0.331695,-0.242754,0.1274,-0.694489,0.0571894,0.0110868,-2,-1,0,0,-2,-1,39:36.8,0
0.430918,0.397065,0.343601,-0.239291,0.135221,-0.708369,-0.0175799,0.0419526,-2,-1,0,0,-2,-1,39:39.6,0
0.428451,0.17286,0.33192,-0.240036,0.12679,-0.705385,0.014953,-0.0688557,-2,2,0,0,-2,2,39:42.4,0
0.42737,0.160185,0.345767,-0.245714,0.12674,-0.68429,-0.00914969,0.0112017,-2,-1,0,0,-2,-1,39:45.2,0
0.429083,0.205235,0.353906,-0.242275,0.131903,-0.689212,-0.00583058,0.0105162,-2,-1,0,0,-2,-1,39:48.0,0
0.431511,0.292939,0.354837,-0.239973,0.136933,-0.693282,-0.0303286,0.0218834,-2,-1,0,0,-2,-1,39:50.7,0
0.423812,0.197479,0.350136,-0.244843,0.126197,-0.689536,-0.0193083,0.0419292,-2,-1,0,0,-2,-1,39:55.4,0
0.427839,0.131399,0.347672,-0.254622,0.121485,-0.683388,0.0515487,-0.00408788,-2,-1,0,0,-2,-1,40:15.7,0
0.413437,0.212812,0.34695,-0.217506,0.118218,-0.680651,-0.0173258,0.0211304,-2,-1,0,0,-2,-1,40:21.5,0
0.503438,0.513236,0.425987,-0.170986,0.191097,-0.929298,0.297011,-0.0264321,-2,2,-2,0,0,2,38:37.0,1
0.428678,0.200668,0.374946,-0.226731,0.137285,-0.672669,-0.13072,0.17,-2,2,-2,1,-2,-1,38:40.3,1
0.426057,0.243961,0.357954,-0.225711,0.136915,-0.691508,0.0179265,-0.0145863,-2,-1,-2,0,-2,-1,38:44.6,1
0.422006,0.174825,0.355364,-0.222014,0.127671,-0.689431,-0.0632737,0.0279337,-2,-1,-2,0,-2,-1,38:47.7,1
0.417783,0.332198,0.347938,-0.233796,0.123493,-0.662926,0.058029,-0.0944661,-2,-1,-1,-2,-2,-1,38:51.0,1
0.431746,0.146215,0.355203,-0.224664,0.139692,-0.700156,0.0079509,0.0349265,-2,2,-1,-2,-2,-1,38:54.1,1
0.43037,0.140876,0.352138,-0.225608,0.133713,-0.688618,-0.011183,0.00458402,-2,-1,-2,0,-2,-1,38:57.2,1
0.427167,0.167401,0.350565,-0.228343,0.133102,-0.687568,-0.0271279,0.0143611,-2,-1,-1,-2,-2,-1,39:00.4,1
0.430624,0.115576,0.348059,-0.236692,0.130656,-0.684283,0.0167301,-0.0133109,-2,-1,-1,-2,-2,-1,39:09.1,1
0.430641,0.123834,0.347906,-0.235602,0.130181,-0.683054,0.016063,0.0125366,-2,-1,-1,-2,-2,-1,39:12.3,1
0.429185,0.134829,0.338945,-0.242533,0.123819,-0.691476,-0.0423697,-0.00689976,-2,-1,-1,-2,-2,-1,39:18.2,1
0.425769,0.171335,0.339491,-0.248255,0.11883,-0.679652,0.0157906,-0.0128523,-2,-1,-1,-2,-2,-1,39:22.8,1
0.427133,0.210843,0.353728,-0.247514,0.129747,-0.694577,-0.0047866,-0.00781599,-2,2,-1,-2,-2,-1,39:53.8,1
0.425817,0.267653,0.352798,-0.244443,0.129603,-0.685668,-0.0111234,0.0130736,-2,-1,-1,-2,-2,-1,39:58.5,1
0.428079,0.188341,0.351037,-0.238502,0.131192,-0.69483,0.0010245,-0.0476309,-2,2,-2,-1,-2,-1,40:01.7,1
0.427044,0.150443,0.350249,-0.24553,0.127809,-0.690316,-0.0255909,-0.0144752,-2,-1,-1,0,-2,-1,40:04.9,1
0.429248,0.138746,0.345543,-0.249215,0.122612,-0.685148,0.000797154,-0.0275583,-2,-1,-1,0,-2,-1,40:08.0,1
0.427476,0.138571,0.346212,-0.250471,0.125927,-0.683483,0.00536395,0.00837408,-2,-1,-2,0,-2,-1,40:11.2,1
0.426927,0.168542,0.346272,-0.25146,0.123142,-0.68791,-0.0241028,0.0162024,-2,-1,-2,-2,-2,-1,40:14.4,1
0.427381,0.225396,0.351474,-0.250537,0.124879,-0.681385,0.0270987,-0.00996619,-2,-1,-1,-2,-2,-1,40:18.7,1
0.386922,0.248133,0.346638,-0.15335,0.117716,-0.684954,-0.0505346,0.0174936,-2,-1,-2,0,-2,-1,40:24.6,1
0.371661,0.144607,0.344939,-0.130643,0.10988,-0.672833,0.026159,0.0299273,-2,-1,-2,-2,-2,-1,40:27.8,1
