@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data
19,0,14,30,15,6,19,30,0,0,23,8,12,36,2183,273,31488,56,-2
3,0,14,21,21,2,10,12,0,0,15,11,15,16,1827,255,18176,51,-2
28,0,7,29,10,5,14,30,0,0,30,4,8,50,2346,345,32766,51,-2
29,29,0,30,17,5,10,30,0,0,28,2,6,50,2406,395,32255,36,-2
4,0,28,22,17,4,11,15,0,0,17,12,15,18,1879,266,17152,20,-2
9,0,7,23,17,1,11,20,0,0,16,12,13,24,1969,291,15360,20,-2
12,0,0,26,17,0,18,23,1,0,21,12,12,25,2137,272,27648,20,-2
30,14,0,30,15,8,12,30,0,0,30,2,5,50,2406,384,29184,26,-2
28,2,0,29,17,1,6,30,0,0,25,2,8,50,2360,420,32512,61,-2
14,6,0,28,12,1,12,26,3,0,20,2,11,27,2146,320,28160,97,-2
23,0,7,25,17,3,15,30,0,0,24,10,13,50,2105,284,22783,133,-2
22,3,0,29,19,2,12,30,3,0,28,2,9,40,2324,356,25344,82,-2
24,0,0,28,19,8,14,30,2,0,25,6,9,44,2294,334,28672,20,-2
26,0,21,27,17,12,30,30,0,0,30,6,9,50,2241,221,30464,20,-2
9,7,0,23,19,1,7,20,2,0,17,11,13,24,1794,290,12800,41,-2
22,11,0,27,19,8,15,30,0,0,27,8,9,42,2207,312,24576,102,-2
27,1,0,27,15,8,25,30,2,0,24,7,7,50,2195,261,23296,108,-2
12,0,14,21,19,23,8,19,1,0,23,6,10,28,1841,298,11776,36,-2
28,10,0,29,17,6,10,30,3,0,26,2,8,50,2324,372,32767,77,-2
26,13,0,28,17,6,12,30,3,0,23,6,10,50,2271,338,26880,113,-2
20,16,0,26,15,3,11,30,7,0,28,8,11,41,2164,327,24064,46,-2
22,24,0,25,17,2,8,30,0,0,22,9,10,45,2098,346,17152,97,-2
10,10,0,23,19,4,8,27,6,0,21,11,15,29,1948,299,19711,61,-2
4,0,7,23,15,0,7,14,0,0,23,12,15,16,1809,281,14592,26,-2
30,0,7,30,17,5,11,30,0,0,30,4,5,50,2427,397,32767,169,-2
8,0,7,24,19,2,12,23,0,0,19,11,15,24,2042,288,20735,82,-2
24,0,7,24,17,13,24,30,1,0,24,8,10,50,2046,237,21760,20,-2
28,0,0,29,17,7,13,30,0,0,25,2,6,50,2271,348,24576,87,-2
28,0,7,29,17,9,20,30,0,0,30,6,7,50,2340,308,22527,36,-2
26,0,7,27,17,5,14,30,2,0,30,2,9,50,2235,321,27647,36,-2
4,0,28,20,19,1,4,12,0,0,13,9,14,18,1745,303,13824,26,-2
14,0,7,25,15,14,17,29,0,0,21,12,13,31,2082,269,20991,31,-2
28,13,0,29,17,6,16,30,0,0,30,3,7,50,2312,323,32766,36,-2
14,4,0,29,19,6,16,27,0,0,23,6,11,27,2094,282,27904,266,-2
26,0,0,28,15,9,23,30,0,0,25,4,9,50,2266,274,26112,56,-2
20,5,0,23,13,19,30,30,6,0,28,6,11,43,1966,177,23039,72,-2
16,0,28,26,12,9,14,29,1,0,21,8,10,33,2141,302,24320,179,-2
20,0,14,28,21,5,12,30,0,0,21,5,9,38,2294,345,25344,82,-2
4,6,0,17,12,3,9,15,0,0,17,12,15,23,1611,228,16896,61,-2
30,1,0,30,15,2,4,30,0,0,30,0,2,50,2516,524,32512,87,-2
22,5,0,25,19,3,11,30,5,0,23,9,12,47,2092,316,18944,77,-2
20,0,7,26,15,10,24,30,0,0,24,4,10,40,2172,257,23296,72,-2
28,6,0,30,17,7,11,30,0,0,27,4,7,50,2390,381,32766,31,-2
18,9,0,26,17,10,18,30,3,0,22,4,10,35,2153,283,24576,292,-2
19,0,0,23,17,7,11,30,4,0,24,10,14,45,1980,289,17664,51,-2
26,1,0,26,17,14,25,30,3,0,30,8,9,50,2163,248,22271,26,-2
30,0,0,30,12,0,1,30,1,0,30,0,2,50,2484,560,32766,108,-2
24,5,7,26,17,12,26,30,0,0,25,3,12,50,2143,238,25600,46,-2
24,6,0,28,15,0,8,30,0,0,21,0,8,45,2238,376,32510,26,-2
30,6,0,30,15,6,15,30,5,0,30,0,4,50,2320,351,27647,225,-2
30,8,0,30,17,3,4,30,0,0,30,0,3,50,2495,512,32766,20,-2
18,3,0,26,17,7,20,30,0,0,23,6,10,36,2173,272,22784,87,-2
10,0,14,21,17,1,4,24,0,0,13,10,14,29,1876,321,13824,20,-2
30,15,0,30,12,0,0,30,0,0,30,0,2,50,2479,589,31743,72,-2
24,6,0,28,17,9,17,30,2,0,23,6,9,46,2252,301,25088,72,-2
16,0,0,23,17,0,8,29,2,0,17,8,10,36,1962,322,16384,97,-2
26,0,14,27,19,7,19,30,0,0,30,6,8,50,2177,283,22528,61,-2
30,0,14,30,17,5,11,30,0,0,30,1,5,50,2376,389,32766,26,-2
20,0,14,28,15,6,13,30,0,0,23,8,11,39,2294,328,32256,67,-2
10,0,7,20,11,25,8,15,3,0,23,6,10,25,1720,279,11519,46,-2
8,0,7,28,12,8,13,21,1,0,19,12,15,18,1920,264,21248,67,-2
23,0,14,23,12,15,3,30,3,0,26,3,6,45,1900,378,9728,82,-2
20,0,7,25,17,16,3,29,0,0,22,3,7,37,1927,377,9728,102,-2
18,0,7,21,12,16,3,24,0,0,21,3,6,37,1820,356,9727,41,-2
26,0,0,23,23,13,3,30,2,0,26,2,5,50,1931,394,9984,72,-2
20,2,0,22,15,15,1,28,0,0,20,2,6,40,1883,394,8959,36,-2
20,0,0,23,19,16,4,28,0,0,21,4,6,39,1917,372,10751,97,-2
20,0,0,22,21,15,2,27,0,0,21,2,6,39,1892,387,10239,31,-2
22,4,0,22,21,14,2,29,0,0,22,2,5,42,1841,382,9215,67,-2
30,0,0,30,12,2,8,30,0,0,30,0,2,50,2258,410,32767,645,1
30,10,0,30,17,5,11,30,0,0,30,0,1,50,2376,410,32767,317,1
29,0,7,28,19,5,13,30,1,0,27,3,4,50,2219,345,32767,594,1
22,0,14,15,11,1,3,30,0,0,17,0,6,50,1422,283,32767,215,1
30,0,14,30,17,1,5,30,1,0,30,0,3,50,2337,468,32767,20,1
30,0,28,30,10,3,6,30,1,0,30,0,5,50,2349,440,32767,82,1
28,0,7,25,17,3,6,30,0,0,30,2,3,50,2051,392,32767,364,1
30,2,0,30,17,7,21,30,0,0,30,0,2,50,2349,318,32767,41,1
30,0,7,27,12,0,1,30,2,0,30,0,1,50,2188,500,32767,31,1
30,0,0,28,10,1,6,30,5,0,30,0,2,50,2247,445,32767,36,1
26,2,0,25,17,1,4,30,4,0,26,2,6,50,2067,407,32767,210,1
30,0,7,29,17,4,9,30,0,0,30,4,4,50,2304,398,32767,184,1
30,0,0,30,12,1,9,30,2,0,30,0,1,50,2374,428,32767,82,1
28,8,0,30,15,4,10,30,4,0,27,3,7,50,2298,376,32767,108,1
30,0,0,29,8,3,10,30,2,0,30,2,4,50,2216,376,32767,609,1
