@relation body

@attribute volume real
@attribute speed real
@attribute armopen real
@attribute headfb real
@attribute headud real
@attribute trunkangle real
@attribute freq real
@attribute deltay real
@attribute deltaz real
@attribute valence {-2,-1,0,1,2}

@data
1.096175289,0.031499748,0.403615896,0.170590255,0.375560715,0.952752455,0,0.223848659,-0.070440821,-1
1.807143519,0.036844442,0.808865487,0.181459074,0.447355143,0.875329063,0,-0.091312917,-0.683503086,-1
1.042191659,0.022949919,0.407604372,0.185157423,0.409396531,0.852460034,0.058785492,-0.009438861,0.333654434,-1
1.30131528,0.039377793,0.589235011,0.287436113,0.246605432,0.877222502,0,0.126325746,0.434763374,-1
1.312165215,0.036037696,0.53431537,0.281371343,0.293246858,0.908395285,0,0.606869183,1.349935897,-1
1.181116367,0.035713988,0.558288384,0.275554762,0.275247115,0.93823071,0,-0.381268295,0.619886364,-1
1.072401674,0.026064108,0.473018343,0.343377102,0.205547678,0.940358637,0,0.142364596,0.396090686,-1
1.69137569,0.024836553,0.745642785,0.404276843,0.251335428,0.920062365,0,-0.182097145,1.507828947,-1
1.220829461,0.025703581,0.583559622,0.380252512,0.348784091,0.951577992,0,-0.03961587,2.249094203,-1
2.276886899,0.028131196,0.678752358,0.315453876,0.801732594,0.926426802,0,0.476476603,0.225288462,-1
2.230143757,0.030994684,0.709979586,0.205527246,0.778305807,0.901993548,0,-0.263919928,-0.039166667,-1
1.522998656,0.036258352,0.481484666,0.197891293,0.755066685,0.965679601,0,-0.10925252,0.648685516,-1
1.385050014,0.028398606,0.657383859,0.19926219,0.758714602,1.004444701,0,-0.282818415,0.537982026,-1
1.3512981,0.030563438,0.661357986,0.255130134,0.794784992,0.968404887,0.073083388,0.015996498,1.512493056,-1
2.193740183,0.024083563,0.664941581,0.323653346,0.813498888,0.975490729,0,-0.423813426,1.880416667,-1
2.403056166,0.024350233,0.774032907,0.326173109,0.826748081,0.956183445,0,-0.032122135,-0.099544271,-1
2.361061654,0.025092694,0.730922985,0.312391768,0.845460797,0.927491079,0,-0.003101562,0.762135417,-1
1.223855823,0.022727319,0.419733835,0.284723824,0.783334405,0.933848514,0.073653974,0.116911097,-0.079008621,-1
1.916872318,0.0253989,0.629411492,0.32037972,0.797689885,0.867048799,0,0.552941016,1.041953125,-1
1.47606635,0.027677859,0.444261793,0.224593222,0.792609553,0.95972304,0,-0.028206146,0.45034375,-1
1.454594565,0.026112683,0.415758304,0.267200399,0.808549574,0.926146496,0,-0.008979221,1.567572464,-1
1.422320761,0.027562264,0.391348163,0.264378938,0.762691872,0.932475937,0,-0.192279741,1.561637931,-1
1.495291063,0.03367215,0.416709394,0.185659869,0.784741248,0.934658657,0.04795933,-0.29822366,0.972702703,-1
1.263795653,0.021243473,0.456428118,0.138097491,0.781829052,0.93446957,0.078241139,-0.052951378,0.219179198,-1
2.212832412,0.031531751,0.668987124,0.237816542,0.751644517,0.890032406,0,-0.120988566,0.078139535,-1
1.91918549,0.026905721,0.815732568,0.273164567,0.828996274,0.887028225,0,-0.282444802,1.899801587,-1
