@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute valence {-2,-1,0,1,2}

@data
64,12,3,110,144,49,412,8,-35,4,0,0,0,1,0,0,0,-1,0,0,0,1,230,3,2,8,3,5,4,7,1,2,2,4,1,-183,107,-51,52,-42,34,-23,26,-19,-1
57,11,3,94,129,19,513,7,-36,4,0,0,0,0,0,0,0,-1,-1,0,0,1,203,4,4,8,2,5,4,5,1,1,1,4,1,-179,80,-22,44,-35,25,-12,12,-19,-1
58,9,3,90,120,30,483,8,-36,5,0,0,0,0,1,0,0,0,-1,0,0,1,169,5,2,8,2,4,3,5,1,1,2,5,2,-203,122,-41,55,-55,34,-15,15,-18,-1
69,17,3,110,145,38,631,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,245,3,1,10,4,4,2,5,1,1,2,2,1,-181,101,-50,56,-40,36,-33,27,-18,-1
63,10,3,100,127,43,485,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,194,6,2,9,3,4,3,4,1,1,2,3,1,-210,151,-70,53,-34,27,-25,20,-16,-1
30,2,3,54,92,5,231,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,113,4,3,19,1,1,1,3,0,1,1,2,0,-186,75,-5,36,-12,-16,2,11,-16,-1
34,2,3,56,89,9,216,4,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,117,12,1,14,1,3,1,4,0,2,1,2,0,-197,93,-4,31,-20,-14,9,9,-14,-1
31,1,2,55,98,4,290,4,-39,5,1,1,0,0,1,0,0,0,0,0,0,1,106,7,0,13,1,2,1,5,0,1,1,5,0,-182,72,-15,48,-17,-12,4,14,-22,-1
27,1,3,52,96,3,202,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,109,3,0,15,1,2,1,3,0,0,3,6,1,-178,68,-16,47,-15,-13,4,16,-22,-1
37,1,3,62,107,8,269,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,110,5,0,15,2,2,2,3,0,1,2,5,0,-172,63,-19,46,-13,-7,0,15,-20,-1
33,1,3,56,97,7,259,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,106,4,0,14,3,3,1,5,0,0,2,7,2,-181,77,-25,53,-22,-4,-2,19,-25,-1
33,2,3,61,109,6,282,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,109,2,0,12,3,4,2,3,0,0,1,11,1,-154,37,-16,40,-4,1,-4,12,-16,-1
34,1,2,54,88,13,259,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,107,4,0,12,2,4,1,4,0,0,2,6,1,-195,92,-9,33,-18,-13,10,12,-22,-1
38,1,2,58,93,13,223,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,106,1,0,11,5,2,3,3,0,0,1,13,1,-194,94,-24,50,-26,-7,4,17,-25,-1
31,1,3,51,88,6,233,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,112,1,1,17,0,3,3,2,0,0,3,7,0,-186,77,-13,48,-29,-3,9,15,-27,-1
34,1,3,54,86,10,215,5,-39,6,1,1,0,1,1,0,0,0,0,0,0,1,107,1,0,13,2,6,2,2,0,1,3,9,0,-194,87,-9,37,-17,-10,9,11,-23,-1
28,1,3,56,104,2,276,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,111,2,0,17,1,2,2,4,0,0,1,7,0,-174,69,-26,51,-16,-9,3,19,-27,-1
28,1,3,50,94,1,201,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,113,1,0,17,0,2,3,1,0,0,2,7,0,-184,80,-26,52,-22,-8,9,14,-30,-1
36,1,3,63,109,7,222,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,119,1,1,17,1,3,2,3,0,0,2,7,0,-171,69,-33,54,-20,5,-9,20,-25,-1
27,1,2,50,93,2,226,4,-40,5,1,1,0,1,1,0,0,-1,0,0,0,1,113,1,2,16,1,4,0,3,0,0,4,5,0,-185,79,-18,42,-16,-11,12,15,-33,-1
34,1,2,56,93,4,261,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,106,1,0,14,1,3,3,2,0,0,2,9,0,-188,84,-20,45,-20,-7,7,12,-24,-1
30,1,2,52,94,6,259,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,110,0,1,13,1,2,3,3,0,0,3,9,0,-181,72,-16,42,-16,-6,6,14,-27,-1
37,2,3,54,87,3,204,5,-39,5,1,1,0,0,1,0,0,-1,0,0,0,1,113,2,2,16,1,1,3,2,0,1,1,7,0,-191,83,-11,43,-20,-10,5,15,-22,-1
31,1,2,52,91,4,265,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,108,0,0,12,1,2,4,4,0,0,3,10,0,-183,71,-9,40,-18,-7,10,11,-25,-1
28,1,3,49,92,2,274,3,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,118,3,0,17,1,2,1,3,0,1,2,5,0,-173,60,-10,40,-15,-8,7,13,-19,-1
39,1,2,59,93,22,240,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,121,1,1,14,1,5,2,4,0,0,4,7,0,-193,93,-24,54,-29,-10,7,17,-27,-1
34,1,2,57,98,6,209,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,105,1,0,13,2,3,4,3,0,0,3,10,0,-178,67,-13,46,-22,-4,4,16,-21,-1
39,2,3,57,93,15,280,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,134,2,2,14,2,4,1,3,0,0,3,5,0,-185,76,-8,36,-21,-7,9,14,-18,-1
36,1,3,59,97,12,298,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,105,2,1,11,2,5,2,3,0,0,4,9,1,-182,73,-14,45,-20,-9,9,13,-18,-1
37,1,3,56,88,14,226,6,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,107,1,1,13,1,3,4,3,1,0,2,11,0,-200,100,-9,33,-27,-8,13,12,-21,-1
34,1,2,56,99,7,284,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,109,1,0,12,3,2,3,2,0,0,1,11,1,-173,57,-6,39,-15,-9,5,11,-18,-1
33,1,2,60,105,8,237,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,121,0,1,15,2,3,2,2,0,0,3,6,0,-175,67,-22,55,-26,-7,3,20,-23,-1
34,1,3,55,93,12,241,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,123,3,1,15,1,4,2,3,0,1,3,5,0,-189,85,-13,43,-27,-8,13,9,-25,-1
34,2,2,52,86,3,204,5,-39,6,1,1,0,1,1,0,0,0,0,0,0,1,106,1,0,10,1,3,6,3,0,0,1,12,0,-184,67,0,41,-28,0,10,9,-18,-1
33,1,2,56,100,8,242,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,109,1,1,15,1,4,1,3,0,0,5,4,0,-180,76,-25,55,-27,-4,1,21,-25,-1
35,1,3,59,102,11,249,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,112,2,1,15,3,3,1,6,0,1,4,3,1,-177,70,-17,40,-13,-7,2,13,-21,-1
32,1,3,58,99,7,270,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,109,3,0,13,3,2,3,3,0,0,1,9,1,-177,65,-11,43,-16,-9,0,17,-17,-1
31,1,3,59,106,8,243,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,106,1,1,13,1,4,2,2,0,0,2,9,0,-171,62,-22,49,-16,-6,0,18,-23,-1
30,1,3,57,103,6,259,4,-39,5,1,1,0,1,1,1,0,-1,0,0,0,1,110,1,1,14,1,3,1,6,0,0,3,4,0,-173,63,-15,45,-17,-7,1,15,-19,-1
30,1,3,52,86,10,232,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,108,1,1,10,1,4,3,3,0,0,4,11,0,-194,93,-17,40,-20,-10,13,13,-28,-1
29,1,3,54,99,9,250,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,114,1,1,18,1,4,1,2,0,0,2,5,0,-184,82,-17,42,-21,-12,9,16,-28,-1
31,1,3,60,103,4,240,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,110,1,1,13,2,2,3,5,0,0,2,8,1,-181,82,-26,40,-14,-7,8,14,-27,-1
33,1,3,56,92,10,217,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,116,1,0,12,1,3,4,4,0,1,1,13,0,-199,101,-18,45,-28,-10,11,14,-29,-1
31,1,2,55,98,3,253,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,0,1,10,2,3,2,3,0,0,2,11,0,-179,72,-23,54,-20,-6,-1,20,-27,-1
33,1,2,67,118,9,255,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,110,1,1,14,1,4,1,3,0,0,3,10,0,-162,52,-27,54,-10,-8,-5,20,-18,-1
28,1,2,53,100,3,232,3,-40,5,1,1,1,1,1,0,0,-1,0,0,0,1,113,1,0,16,1,2,3,2,0,0,3,6,0,-178,73,-26,57,-28,-7,7,22,-34,-1
32,1,3,58,99,7,243,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,108,1,0,13,3,3,2,4,0,0,2,10,1,-190,88,-19,45,-25,-7,5,18,-22,-1
25,1,2,46,86,2,282,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,97,1,0,13,2,2,4,2,0,0,2,8,1,-183,75,-8,35,-18,-11,10,11,-16,-1
30,1,2,51,94,7,299,4,-40,5,1,1,0,1,1,0,0,-1,0,0,0,0,110,1,1,13,2,3,1,3,0,0,4,7,0,-178,65,-12,46,-25,2,-1,17,-19,-1
27,1,2,47,89,4,208,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,108,1,1,16,3,3,1,4,0,0,4,3,0,-184,79,-16,42,-22,-6,9,12,-24,-1
36,1,2,55,94,14,288,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,127,1,1,14,2,4,2,5,0,0,3,6,0,-186,77,-10,42,-26,-2,3,15,-20,-1
36,1,3,60,97,16,315,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,1,104,2,1,12,2,4,2,4,0,0,3,8,1,-173,53,4,27,-7,0,-8,7,-2,-1
30,1,2,46,81,3,212,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,115,1,0,14,2,1,3,3,0,0,1,7,0,-185,77,-7,33,-18,-10,13,8,-19,-1
