@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute valence {-2,-1,0,1,2}

@data
52,2,2,69,96,41,260,7,-37,6,0,0,0,1,1,1,0,-1,0,0,0,1,110,2,1,11,2,5,2,4,1,1,5,8,0,-202,102,-6,30,-24,-8,6,16,-23,-2
38,2,2,55,85,15,227,5,-39,5,1,1,1,1,1,0,0,0,0,0,0,1,126,2,1,16,1,2,2,3,1,1,1,3,0,-191,85,-1,24,-17,-11,8,13,-16,-2
38,3,3,58,88,11,207,5,-38,6,1,1,0,1,0,0,0,0,0,0,0,1,114,9,0,10,2,3,1,4,0,2,1,7,1,-193,79,12,19,-25,7,9,14,-28,-2
34,3,2,56,88,9,255,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,123,2,1,10,2,5,2,2,0,1,4,6,0,-190,83,-1,19,-15,0,12,11,-23,-2
56,4,3,75,103,38,310,7,-37,6,0,0,0,1,1,0,0,0,0,0,0,1,134,4,1,10,2,7,2,5,1,1,2,6,1,-197,94,-6,34,-24,-10,4,14,-14,-2
39,4,3,60,96,6,276,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,126,3,1,14,1,2,2,4,0,1,2,4,1,-172,58,0,23,-9,-2,3,8,-11,-2
41,4,3,62,94,19,288,6,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,123,2,0,12,2,5,2,4,1,1,3,6,1,-191,88,2,17,-21,-6,16,14,-18,-2
35,3,3,61,98,19,237,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,110,1,1,12,2,4,3,3,1,0,2,9,1,-185,76,0,26,-24,0,10,16,-27,-2
35,2,3,55,89,4,279,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,113,1,2,15,2,1,3,3,0,0,2,8,0,-188,87,-10,26,-18,-4,11,10,-24,-2
43,3,3,63,99,16,332,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,132,1,1,13,3,4,2,2,0,1,1,7,1,-186,83,-8,25,-18,-3,9,11,-18,-2
32,2,2,55,90,15,219,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,118,1,1,12,1,3,3,3,1,0,3,12,0,-183,70,7,16,-11,-6,7,11,-15,-2
55,4,2,69,90,37,325,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,166,2,1,9,4,6,3,7,1,1,4,5,1,-219,140,-21,16,-24,0,10,14,-20,-2
41,3,2,60,96,8,332,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,122,2,1,14,1,4,2,2,0,1,2,5,1,-192,99,-18,21,-15,-1,7,13,-22,-2
34,3,3,57,89,22,240,5,-38,5,0,1,0,1,1,0,0,0,0,0,0,1,102,2,0,11,2,3,4,3,1,1,2,12,0,-204,105,5,14,-33,12,-2,23,-26,-2
47,4,3,69,106,16,317,6,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,120,2,1,12,5,3,1,3,0,0,1,9,1,-185,76,4,20,-23,6,3,13,-18,-2
44,4,3,72,115,17,283,6,-38,5,0,0,0,1,1,0,0,-1,0,0,0,1,119,2,1,12,1,5,3,5,1,0,2,8,0,-182,79,-20,45,-25,-1,-2,24,-22,-2
39,3,3,57,93,6,304,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,113,2,0,15,1,1,2,5,1,1,1,5,1,-189,86,-13,34,-22,4,2,17,-28,-2
52,5,3,70,99,27,304,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,148,2,1,9,3,4,2,4,0,1,0,11,1,-202,108,-17,29,-22,-2,5,19,-17,-2
32,3,3,54,92,6,285,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,116,1,1,13,4,4,2,6,0,1,1,6,1,-187,79,-2,28,-25,4,12,13,-32,-2
41,5,3,57,87,9,317,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,117,2,2,9,2,5,1,5,0,0,2,9,1,-202,106,-14,26,-22,6,4,15,-23,-2
33,1,2,57,101,11,305,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,1,1,14,3,3,2,4,0,1,2,7,1,-179,68,-6,38,-21,-5,3,20,-25,-2
36,3,3,56,93,12,306,5,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,119,2,1,11,2,5,0,3,0,1,4,7,1,-187,72,1,33,-23,4,7,8,-22,-2
38,3,3,56,89,14,311,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,119,2,1,11,2,3,2,6,0,1,2,7,1,-193,85,-1,29,-22,-5,12,15,-27,-2
38,2,3,55,88,18,319,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,119,2,0,10,3,3,3,2,0,0,1,11,1,-191,81,1,28,-28,3,4,20,-22,-2
44,4,3,67,103,20,254,6,-38,5,0,1,0,1,1,0,0,-1,0,0,0,1,114,2,1,13,2,3,2,3,1,0,1,6,1,-190,88,-14,38,-25,1,0,17,-24,-2
40,3,2,58,86,17,217,6,-38,6,1,0,0,1,1,0,0,-1,0,0,0,1,103,1,1,7,3,3,3,2,0,0,1,14,1,-204,98,4,26,-24,-5,6,13,-18,-2
52,5,3,70,100,20,280,7,-37,5,0,0,0,1,1,1,0,-1,0,0,0,1,125,1,1,13,0,4,3,3,1,0,2,9,1,-205,111,-16,34,-20,-15,5,16,-18,-2
40,3,3,67,91,32,231,7,-37,5,0,0,1,1,1,0,0,0,0,0,0,1,115,4,1,13,2,6,2,6,2,1,2,5,1,-221,132,-6,16,-20,-14,14,11,-18,-2
60,11,3,84,108,45,557,8,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,212,3,1,10,3,8,3,4,0,1,1,4,2,-211,135,-33,29,-36,27,-20,25,-20,2
64,13,3,94,123,39,586,8,-35,5,0,0,0,1,1,0,0,-1,0,0,0,1,236,3,1,9,5,5,4,7,1,2,2,4,2,-203,121,-29,37,-45,30,-14,22,-17,2
63,10,3,104,142,43,459,8,-35,4,0,0,0,1,1,0,0,-1,0,0,0,1,211,3,3,10,4,4,5,4,1,2,2,2,1,-179,90,-36,43,-34,27,-12,28,-26,2
65,13,3,95,121,42,554,9,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,214,5,4,8,3,5,2,5,1,1,2,5,2,-211,143,-48,36,-37,32,-15,20,-25,2
70,15,3,98,119,46,558,8,-34,4,0,0,0,1,1,0,0,-1,0,0,0,1,201,2,1,8,5,4,5,6,0,4,7,4,2,-228,186,-82,49,-54,51,-34,31,-23,2
56,10,3,88,119,38,482,7,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,208,3,0,10,5,3,4,3,1,2,3,5,1,-209,139,-49,39,-34,19,-9,23,-24,2
58,11,3,90,120,36,516,7,-36,5,0,0,0,1,0,0,0,-1,0,0,0,1,189,3,1,10,2,7,3,5,0,1,1,3,1,-192,116,-45,28,-25,21,5,7,-21,2
59,10,3,86,110,38,445,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,198,3,1,12,2,6,3,4,1,1,2,4,2,-220,152,-43,33,-35,17,-11,24,-19,2
62,11,3,92,116,39,515,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,213,5,1,8,3,8,2,6,2,2,4,4,2,-207,129,-37,37,-34,24,-16,24,-19,2
64,13,3,86,109,53,416,9,-35,4,0,0,0,1,1,0,0,0,0,0,0,1,223,2,1,6,2,8,6,6,1,1,5,6,1,-219,151,-37,21,-33,32,-19,17,-16,2
72,9,3,101,121,53,577,9,-35,4,0,0,0,1,0,0,0,-1,0,0,0,1,240,4,2,7,2,9,4,5,1,2,2,4,2,-213,155,-65,42,-34,21,-13,32,-31,2
75,14,3,98,117,46,404,9,-35,4,0,0,0,1,0,0,-1,-1,-1,0,0,1,234,2,1,10,6,5,3,5,2,2,3,1,1,-217,160,-51,22,-24,27,-27,29,-20,2
63,9,3,87,102,45,461,9,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,203,5,3,6,1,6,8,8,1,1,1,4,2,-230,172,-58,35,-31,24,-14,15,-12,2
58,11,3,80,105,37,539,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,180,2,1,11,2,7,4,4,1,1,3,3,1,-207,126,-26,24,-35,33,-15,18,-25,2
73,15,3,101,120,50,622,9,-34,4,0,0,0,1,1,0,0,-1,0,0,0,1,255,4,1,7,1,7,7,4,2,1,3,5,2,-217,160,-56,33,-35,31,-24,25,-17,2
57,11,3,81,102,37,549,7,-35,5,0,0,0,1,1,0,0,-1,0,0,0,1,198,3,2,9,1,11,4,5,1,1,1,2,1,-218,144,-26,6,-15,20,-8,9,-16,2
69,15,3,87,97,36,486,8,-34,5,0,0,0,1,1,0,0,-1,0,0,0,1,229,2,3,10,2,5,5,4,1,3,4,6,1,-236,180,-45,18,-49,55,-30,29,-36,2
60,11,3,94,128,40,476,8,-35,5,0,0,0,1,1,0,0,-1,0,0,0,1,197,3,3,10,3,3,4,6,2,1,1,5,1,-194,110,-36,41,-40,32,-18,31,-17,2
61,10,3,88,118,37,539,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,202,4,1,9,2,7,1,5,1,1,3,5,1,-202,121,-29,26,-36,31,-7,11,-12,2
65,12,3,90,105,42,580,8,-35,4,0,0,0,1,1,0,0,-1,-1,0,0,1,204,4,2,11,1,8,3,4,0,1,1,3,1,-230,185,-70,26,-28,33,-19,21,-21,2
51,11,3,83,114,27,548,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,153,3,1,10,2,8,4,7,0,1,1,2,1,-210,150,-58,19,-19,35,-17,14,-17,2
56,12,3,88,117,30,505,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,196,3,1,13,5,5,1,5,1,1,2,2,1,-197,124,-41,24,-27,26,-13,23,-23,2
60,9,2,86,110,40,532,8,-36,4,0,0,0,1,1,0,0,-1,0,0,0,1,255,4,1,9,3,7,3,4,2,2,1,4,1,-202,126,-45,36,-26,21,-10,17,-19,2
52,12,3,82,109,27,493,7,-35,5,0,0,0,1,0,0,0,-1,0,0,0,1,181,4,2,9,2,5,2,4,1,2,4,3,2,-206,130,-33,16,-21,26,-13,16,-13,2
46,6,3,67,96,25,423,6,-38,5,0,1,0,1,1,0,0,-1,0,0,0,1,185,3,0,12,1,4,2,4,1,1,4,3,1,-200,109,-13,12,-25,24,-7,11,-17,2
53,11,3,82,105,33,439,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,183,5,1,8,2,3,3,8,1,1,3,6,2,-222,159,-51,25,-26,29,-16,15,-12,2
68,9,3,92,115,54,415,9,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,194,4,1,9,2,7,5,7,1,1,4,6,2,-224,162,-49,32,-35,26,-18,22,-14,2
57,8,3,82,112,45,374,7,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,151,2,1,8,2,5,5,5,1,1,4,5,2,-206,128,-38,38,-26,12,-17,19,-13,0
63,8,3,95,126,46,429,7,-36,5,0,0,0,1,1,0,0,0,-1,0,0,1,172,2,1,8,4,5,4,4,0,1,3,11,1,-201,127,-50,44,-29,21,-19,18,-11,0
57,8,3,80,111,31,346,7,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,155,2,1,9,2,7,3,9,1,3,3,2,1,-202,124,-43,37,-34,34,-22,25,-23,0
71,10,3,112,149,45,454,8,-35,4,0,0,0,1,1,0,0,-1,0,0,0,1,186,2,0,7,6,7,1,6,1,3,6,3,1,-182,102,-57,61,-40,28,-24,34,-23,0
53,6,3,84,115,37,428,7,-37,4,0,1,0,1,1,0,0,0,0,0,0,1,159,3,1,8,1,6,5,5,2,3,4,4,1,-204,133,-46,33,-24,21,-19,17,-15,0
63,11,3,85,106,44,371,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,146,2,2,4,1,17,7,6,1,0,0,1,2,-217,144,-41,29,-21,18,-19,18,-16,0
66,13,3,86,103,48,443,8,-35,4,0,0,0,1,1,0,0,0,0,0,0,1,183,2,2,6,2,7,6,10,1,1,4,2,1,-232,183,-66,35,-34,32,-22,21,-27,0
61,7,3,93,126,29,455,7,-36,4,0,1,0,1,1,0,0,0,0,0,0,1,162,1,1,8,3,6,4,7,1,3,3,7,1,-202,124,-35,36,-40,26,-15,22,-17,0
64,10,3,96,125,41,422,8,-35,4,0,0,0,1,1,0,0,0,0,0,0,1,184,3,1,7,4,7,5,5,1,2,6,3,1,-205,136,-55,54,-51,34,-26,34,-27,0
52,7,3,75,100,33,356,7,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,155,3,1,7,2,8,3,4,2,2,3,4,2,-223,163,-55,41,-44,33,-26,27,-23,0
59,8,3,88,119,35,498,7,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,146,2,0,8,3,5,2,10,1,2,4,2,1,-214,150,-65,61,-55,36,-21,25,-20,0
62,10,3,82,98,29,421,8,-35,5,0,0,0,0,0,0,0,0,0,0,0,1,179,4,4,3,1,12,12,5,1,2,2,2,1,-225,151,-31,25,-42,35,-12,17,-35,0
57,7,3,84,108,39,412,7,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,145,2,1,6,1,10,5,6,0,1,3,5,2,-215,148,-50,35,-33,29,-17,21,-23,0
69,9,3,94,107,42,349,9,-35,5,0,0,0,1,1,0,0,0,-1,0,0,1,183,4,4,7,4,2,1,7,1,5,7,3,1,-234,182,-54,13,-13,15,-16,28,-23,0
69,10,3,92,113,45,410,8,-35,4,0,0,0,1,1,0,0,0,-1,0,0,1,228,7,0,9,2,2,3,7,2,1,2,4,3,-223,169,-65,48,-47,34,-26,25,-22,0
77,9,3,92,99,58,356,9,-35,4,0,0,0,1,1,0,0,0,0,0,0,1,243,1,1,5,1,8,4,7,1,2,9,6,4,-240,204,-80,30,-29,27,-20,24,-27,0
64,8,3,91,121,44,487,7,-36,4,0,1,0,1,1,0,0,0,0,0,0,1,195,2,1,8,1,6,7,3,1,0,6,7,1,-202,121,-30,29,-36,29,-17,23,-18,0
56,8,3,76,101,36,448,7,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,191,2,1,9,2,5,4,5,0,1,4,8,2,-204,111,-9,18,-28,24,-11,14,-21,0
55,10,3,90,122,31,475,7,-36,4,0,1,0,1,1,0,0,0,-1,0,0,1,176,3,3,9,3,3,2,3,0,3,5,4,3,-212,156,-62,34,-32,30,-19,25,-23,0
65,9,3,93,116,46,455,8,-35,4,0,0,0,1,1,0,0,0,0,0,0,1,194,2,2,8,2,3,5,6,1,2,3,8,3,-215,145,-45,46,-50,26,-11,25,-31,0
65,19,3,94,113,28,509,8,-35,5,0,0,0,0,1,0,0,-1,-1,0,0,1,243,7,5,9,3,4,2,2,0,1,3,3,1,-205,120,-21,24,-32,24,-13,16,-12,0
65,10,3,105,145,32,491,7,-36,4,0,0,0,1,1,0,0,0,-1,0,0,1,181,6,1,9,2,5,2,3,2,2,4,3,2,-181,97,-49,57,-32,16,-20,29,-14,0
57,10,3,92,130,32,501,6,-36,5,0,1,0,1,1,0,0,0,0,0,0,1,149,4,1,7,1,5,2,10,0,1,5,4,2,-198,121,-46,37,-29,23,-11,18,-13,0
60,8,3,92,120,41,401,8,-36,4,0,0,0,1,1,0,0,0,-1,0,0,1,181,4,2,9,2,5,2,6,1,1,4,5,3,-207,135,-47,45,-46,31,-20,25,-17,0
60,8,3,86,106,45,446,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,195,2,2,6,3,9,4,7,1,2,7,5,1,-227,173,-61,29,-29,31,-22,18,-14,0
66,12,3,92,112,40,541,8,-35,4,0,0,0,1,1,0,0,0,-1,0,0,1,195,3,3,6,4,6,4,7,1,2,4,4,1,-226,184,-91,55,-42,45,-39,41,-36,0
60,11,3,94,125,36,486,8,-36,4,0,0,0,1,1,0,0,0,0,0,0,1,193,3,3,7,2,6,2,7,1,2,5,5,2,-209,139,-50,45,-43,32,-19,21,-15,0
62,8,3,87,109,39,529,8,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,182,2,1,6,3,7,5,6,0,1,4,6,2,-214,132,-13,5,-30,30,-9,18,-26,0
46,5,3,72,104,27,436,6,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,160,3,1,11,2,2,4,4,1,1,5,6,1,-200,110,-18,23,-33,29,-17,25,-19,0
57,9,3,92,119,30,485,7,-36,4,0,0,0,1,1,0,0,-1,-1,0,0,1,225,6,2,10,1,3,3,5,2,1,2,5,4,-210,131,-18,12,-46,53,-26,20,-20,0
55,11,3,82,104,27,400,7,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,207,7,1,5,3,2,1,6,1,2,4,5,4,-215,136,-26,23,-36,31,-16,22,-25,0
66,9,3,93,122,40,637,8,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,223,5,1,8,1,5,5,3,1,1,4,6,1,-202,120,-36,39,-31,18,-17,25,-18,0
66,9,3,92,106,47,458,9,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,166,3,2,6,2,7,6,9,1,3,2,3,2,-241,202,-74,35,-43,34,-18,17,-11,0
53,6,3,79,110,24,418,6,-36,5,0,0,0,0,1,0,0,0,-1,0,0,1,176,6,2,12,2,5,2,3,1,1,2,2,1,-203,118,-26,31,-24,6,-6,19,-22,2
53,6,3,94,135,24,400,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,140,5,1,8,2,5,3,3,1,1,4,5,2,-178,70,-14,46,-27,-2,-3,36,-30,2
56,6,3,96,137,30,439,7,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,130,5,1,10,1,7,2,5,1,2,2,2,1,-179,80,-24,43,-29,16,-15,32,-28,2
57,5,3,92,131,28,357,7,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,147,5,2,10,1,6,4,6,1,1,2,3,1,-173,66,-13,29,-9,1,1,18,-24,2
64,8,3,88,112,43,481,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,160,7,2,8,2,7,3,4,2,2,2,5,1,-214,140,-42,37,-32,16,-10,22,-25,2
44,5,3,66,91,22,345,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,139,3,2,9,3,4,2,4,1,1,3,7,1,-213,125,-16,25,-35,15,4,16,-35,2
47,5,3,77,120,19,380,5,-37,5,1,1,0,1,1,0,0,0,0,0,0,1,143,2,1,11,2,4,2,3,0,1,2,8,1,-182,78,-17,47,-38,5,8,20,-27,2
54,5,3,84,115,19,409,7,-36,5,0,0,0,0,1,0,0,0,0,0,0,1,137,2,2,12,3,5,3,5,1,1,3,6,1,-202,116,-30,33,-23,6,0,18,-30,2
52,6,2,83,112,25,402,7,-36,5,0,0,0,0,1,0,0,0,0,0,0,1,147,5,2,7,2,4,5,7,1,2,2,5,1,-201,105,-13,28,-26,5,2,14,-21,2
49,6,3,75,109,15,401,6,-37,5,1,0,0,0,0,0,0,-1,0,0,0,1,152,4,2,9,2,9,3,3,0,1,2,4,1,-189,79,-11,50,-41,18,-4,17,-40,2
48,4,3,76,106,27,367,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,132,4,1,10,2,6,2,6,1,1,2,8,1,-198,109,-20,27,-32,16,0,24,-35,2
57,6,3,77,99,33,400,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,138,3,2,9,2,7,3,5,1,2,2,4,0,-219,137,-21,18,-23,6,6,15,-25,2
49,5,3,72,103,20,309,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,124,3,1,11,2,4,2,7,1,1,3,7,1,-201,104,-6,27,-35,7,2,24,-26,2
54,6,3,86,117,25,403,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,167,3,1,9,3,4,3,5,0,1,2,9,0,-186,74,-2,38,-30,9,1,11,-16,2
60,6,3,94,129,30,429,6,-38,5,0,0,0,1,1,0,0,-1,0,0,0,1,134,3,2,12,2,8,3,2,0,1,2,2,1,-179,84,-25,34,-17,9,-12,21,-21,2
46,4,3,73,105,20,437,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,144,6,2,9,3,3,2,3,1,1,2,8,1,-197,96,-7,30,-30,8,1,17,-23,2
48,6,3,73,102,19,380,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,126,2,1,12,2,8,2,3,1,1,3,2,1,-200,96,-3,34,-43,25,-2,12,-39,2
53,6,3,89,130,19,500,6,-37,5,0,0,0,1,1,0,0,-1,-1,0,0,1,150,3,1,12,1,5,3,3,0,1,1,7,1,-180,71,-5,34,-23,1,-6,22,-15,2
50,5,2,87,133,25,408,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,149,3,1,11,2,9,1,5,0,1,2,2,1,-166,45,-1,47,-30,4,4,10,-12,2
41,3,3,65,98,18,363,6,-38,5,0,1,0,1,1,0,0,0,0,0,0,1,140,3,1,14,4,4,2,4,1,1,4,4,1,-192,91,-10,30,-25,4,1,12,-16,2
50,7,3,79,107,27,443,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,165,4,1,9,4,6,3,4,1,1,2,8,2,-204,122,-29,21,-15,9,-3,13,-13,2
49,5,3,79,111,22,474,6,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,147,3,1,7,3,8,2,5,1,1,3,6,1,-191,87,-5,24,-23,8,-1,11,-13,2
47,4,3,72,105,18,444,6,-37,6,1,0,0,1,1,0,0,0,0,0,0,1,147,3,1,12,1,3,2,5,0,2,4,5,1,-188,74,7,28,-25,4,4,13,-17,2
43,5,3,68,102,18,459,6,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,174,4,0,11,5,3,2,5,1,1,2,7,0,-191,84,1,21,-25,13,1,14,-22,2
41,4,3,69,105,12,431,6,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,131,6,1,13,3,5,1,6,0,1,2,4,1,-192,91,-11,33,-28,7,-3,20,-19,2
47,6,2,71,97,27,390,6,-37,5,0,0,0,1,1,0,0,-1,0,0,0,1,187,6,2,12,2,4,2,4,1,1,1,3,1,-208,116,-7,17,-30,18,-6,17,-22,2
54,7,3,81,118,26,480,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,155,4,2,11,2,7,3,5,1,1,3,2,1,-184,77,-8,32,-19,1,-2,20,-19,2
48,3,3,72,96,37,297,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,139,3,1,10,2,6,2,5,1,1,3,8,1,-215,140,-38,33,-20,-5,3,16,-20,2
38,5,2,67,105,16,267,5,-38,5,0,1,0,1,1,0,0,-1,0,0,0,1,119,2,1,18,1,3,2,1,0,1,1,2,0,-193,90,-4,30,-22,-7,5,11,-13,1
60,10,3,92,121,34,470,7,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,173,3,3,10,1,7,1,4,1,1,3,6,3,-202,122,-40,46,-35,14,-9,24,-25,1
62,8,3,88,114,29,356,7,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,142,2,1,10,3,7,5,6,1,1,1,2,1,-203,109,-10,26,-29,0,6,27,-29,1
36,2,2,63,109,8,280,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,113,5,1,13,2,3,1,3,0,1,3,5,1,-176,64,-9,44,-22,-13,8,21,-28,1
55,7,3,88,124,32,337,7,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,152,9,0,9,2,8,1,3,1,2,2,3,1,-178,76,-21,34,-14,7,-4,15,-16,1
45,5,3,63,92,19,266,6,-38,5,1,0,0,1,1,0,0,0,0,0,0,1,112,3,1,9,3,2,1,6,0,0,2,9,2,-202,107,-15,31,-26,3,2,17,-24,1
48,5,3,70,101,22,329,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,126,1,1,9,2,4,4,3,0,2,4,12,0,-195,81,9,26,-19,0,-2,13,-18,1
61,11,3,78,95,29,347,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,154,2,1,6,3,7,4,11,1,1,1,5,2,-223,154,-43,32,-35,18,0,18,-32,1
37,2,3,73,125,6,235,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,121,5,1,15,1,3,2,2,0,1,2,6,1,-163,47,-13,44,-11,-9,2,20,-24,1
50,5,3,83,113,21,450,6,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,167,3,1,10,3,9,4,5,0,1,1,2,1,-199,120,-29,12,-22,14,14,12,-37,1
55,6,3,75,101,25,325,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,139,2,2,12,1,3,4,7,1,1,2,3,1,-205,109,-4,17,-21,-1,1,13,-16,1
54,6,3,80,112,30,479,7,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,159,1,1,9,7,7,2,4,1,1,2,3,1,-192,92,-10,27,-21,2,5,16,-18,1
40,2,3,59,91,17,294,6,-38,5,1,0,0,1,1,0,0,0,0,0,0,1,137,6,1,10,1,3,2,3,0,1,2,8,1,-196,88,-1,28,-19,-8,7,14,-19,1
38,2,2,63,102,10,341,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,113,5,1,15,1,3,1,2,0,2,2,2,0,-180,71,-8,28,-14,2,6,12,-25,1
45,2,3,69,100,27,319,7,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,122,4,1,7,1,5,3,3,0,1,0,15,1,-194,91,-5,22,-15,-4,6,14,-18,1
70,10,3,87,99,40,515,8,-35,5,0,0,0,1,1,0,0,0,0,0,0,1,177,1,2,8,3,7,2,8,1,2,4,2,1,-233,178,-49,18,-21,9,0,16,-27,1
54,4,3,83,120,33,333,6,-37,5,0,0,0,1,1,0,0,0,0,0,0,1,117,1,2,14,1,4,6,5,0,0,1,1,0,-193,98,-12,20,-18,-1,4,20,-25,1
68,10,3,94,124,35,592,8,-36,5,0,0,0,1,1,0,0,-1,0,0,0,1,208,2,1,9,7,7,2,3,1,2,3,3,1,-191,87,-4,28,-26,5,0,25,-31,1
45,4,3,65,90,23,382,7,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,154,2,0,7,2,6,4,5,0,1,1,8,1,-201,92,5,22,-15,-4,5,9,-16,1
37,1,2,67,116,15,278,5,-39,5,1,0,0,1,1,1,0,0,0,0,0,1,153,1,1,10,3,3,1,3,0,0,2,8,1,-172,57,-10,44,-17,-6,1,18,-24,1
37,1,3,59,98,19,265,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,134,3,1,12,3,3,1,3,0,1,1,7,1,-195,95,-8,28,-25,-1,6,17,-30,1
56,8,3,81,106,33,329,7,-36,5,0,0,0,1,1,0,0,0,0,0,0,1,166,4,1,7,4,5,2,12,2,3,4,4,1,-214,143,-45,37,-39,25,-3,22,-39,1
