Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,,,,,,,,,
alex_angry.wav,60,23,3,107,142,42,778,8,-35,4,0,0,0,0,1,0,-1,-1,-1,0,0,1,189,1,3,17,0,7,1,5,0,1,2,1,1,-166,45,-8,81,-67,37,-41,42,-20
alex_angry.wav,78,16,3,94,106,42,1005,9,-34,5,0,0,-1,0,1,0,0,-1,-1,0,0,1,227,9,5,5,10,4,7,3,1,1,2,5,0,-228,159,-36,55,-103,81,-38,36,-1
alex_boredom.wav,25,2,2,49,92,2,211,3,-39,5,1,1,0,1,1,1,0,0,0,0,0,1,117,3,0,22,1,1,1,0,0,0,1,2,0,-177,63,-2,28,-8,-8,8,7,-16
alex_boredom.wav,29,1,3,61,106,6,293,4,-39,5,1,1,0,0,0,0,0,-1,0,0,0,1,118,8,2,16,1,1,1,3,0,2,1,1,0,-180,65,-4,40,-12,-14,1,9,-17
alex_boredom.wav,32,1,3,51,82,3,368,4,-39,6,1,1,0,0,0,0,0,0,0,0,0,1,111,9,0,15,0,2,0,6,0,1,0,6,0,-197,89,-8,47,-28,-10,6,14,-16
alex_boredom.wav,23,0,3,54,113,1,113,3,-41,5,1,1,1,1,1,0,0,0,0,0,0,1,117,1,0,21,1,1,1,1,0,0,4,0,0,-156,48,-34,62,-18,-8,-5,27,-30
alex_boredom.wav,32,1,2,54,97,3,285,5,-39,5,1,1,0,0,0,0,0,-1,0,0,0,0,82,5,0,11,0,5,2,5,0,2,5,8,0,-185,79,-18,46,-20,-8,5,13,-17
alex_boredom.wav,32,1,2,61,114,2,391,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,108,3,0,11,3,3,2,1,0,0,3,11,0,-164,53,-31,61,-11,-11,-3,21,-14
alex_boredom.wav,27,1,2,78,153,3,252,3,-40,4,1,1,1,1,1,0,0,-1,0,0,0,1,108,0,0,17,2,4,1,5,0,0,5,2,0,-119,6,-53,67,3,9,-30,19,-9
alex_boredom.wav,39,1,3,59,88,27,534,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,116,4,0,15,1,4,2,1,0,1,2,4,0,-200,104,-20,43,-25,-13,8,14,-23
alex_boredom.wav,31,1,3,50,81,6,393,5,-39,6,1,0,0,1,1,0,0,-1,0,0,0,1,112,1,0,19,7,0,3,3,0,0,0,11,1,-188,80,-21,62,-29,-2,-3,15,-17
alex_boredom.wav,37,1,2,59,104,9,355,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,112,1,0,18,0,3,3,0,0,0,2,6,0,-161,42,-15,55,-26,11,-20,32,-16
alex_boredom.wav,39,1,3,61,89,10,358,6,-38,6,1,0,0,0,1,1,0,0,0,0,0,1,105,5,0,11,0,10,0,1,0,2,5,13,0,-206,105,-11,44,-35,3,-3,24,-10
