@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data
64,13,3,107,142,44,409,8,-34,4,0,0,0,1,0,0,0,-1,0,0,0,1,206,3,10,3,10,8,7,8,7,2,2,3,4,-193,119,-54,60,-55,42,-25,31,-31,2
56,10,2,98,130,21,405,7,-35,4,0,0,0,0,0,0,0,-1,-1,0,0,1,205,2,14,1,4,5,8,4,2,3,2,6,3,-195,115,-46,55,-48,37,-19,16,-29,2
58,9,3,91,123,26,421,8,-34,5,0,0,0,0,1,0,0,0,0,0,0,1,150,7,11,3,5,9,3,9,3,5,5,4,4,-213,157,-89,90,-79,57,-36,33,-38,2
67,15,3,111,147,34,432,9,-34,4,0,0,0,1,1,0,0,-1,-1,0,0,1,206,4,11,7,11,8,4,5,3,2,3,4,2,-189,115,-64,70,-50,43,-43,35,-32,2
64,9,3,108,143,46,382,8,-34,4,0,0,0,1,1,0,0,-1,-1,0,0,1,215,9,13,6,3,9,6,5,3,3,4,4,4,-199,133,-67,65,-45,28,-23,27,-23,2
29,2,3,52,95,4,204,4,-38,5,1,1,1,1,1,1,0,-1,0,0,0,1,116,2,25,1,1,4,3,2,1,3,3,1,1,-194,93,-17,43,-19,-15,7,12,-24,-2
33,2,3,53,87,8,192,4,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,113,11,17,1,3,7,3,4,3,2,3,3,2,-206,109,-13,38,-26,-17,15,10,-20,-2
31,1,3,53,94,3,279,4,-38,5,1,1,0,0,1,0,0,-1,0,0,0,1,111,11,11,1,2,4,2,8,3,1,2,5,3,-185,75,-15,50,-20,-12,3,16,-23,-2
27,1,3,53,101,2,229,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,111,4,18,1,3,3,4,6,1,3,6,7,3,-183,80,-25,52,-21,-11,7,16,-29,-2
37,1,2,57,100,4,203,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,110,7,18,1,5,4,4,4,2,2,3,5,1,-185,83,-26,52,-24,-6,2,17,-28,-2
33,1,3,54,97,2,231,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,112,10,14,1,5,3,2,9,1,0,4,4,6,-193,98,-37,61,-32,-2,1,22,-34,-2
32,2,3,60,109,2,260,4,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,108,2,12,1,8,4,5,6,0,1,3,8,5,-170,59,-25,54,-20,5,-4,17,-26,-2
35,1,3,53,87,7,274,5,-38,5,1,1,0,0,1,0,0,-1,0,0,0,1,109,10,13,1,6,5,4,8,1,1,4,8,3,-207,114,-21,43,-28,-14,11,17,-27,-2
39,1,3,56,90,4,231,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,4,12,1,9,4,4,6,0,1,1,16,5,-200,101,-19,45,-28,-4,3,17,-27,-2
31,1,3,50,90,5,208,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,1,21,2,2,3,9,3,1,1,5,9,0,-183,73,-13,49,-28,-1,5,13,-23,-2
35,1,3,50,82,7,204,5,-38,6,1,1,0,1,1,0,0,-1,0,0,0,1,102,3,15,1,3,4,7,3,1,1,10,8,1,-205,106,-21,48,-28,-8,7,19,-30,-2
28,1,3,55,105,2,162,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,113,3,16,2,1,3,3,3,1,0,6,5,2,-180,79,-30,52,-17,-12,7,17,-29,-2
27,1,3,47,87,1,150,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,110,1,20,2,1,3,8,2,1,1,8,10,1,-191,94,-35,59,-28,-6,8,19,-36,-2
35,1,3,59,107,5,209,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,111,1,19,3,4,4,7,3,1,1,6,11,1,-173,69,-36,64,-24,2,-9,24,-28,-2
27,1,3,46,88,2,144,3,-39,5,1,1,0,1,1,1,0,-1,0,0,0,1,112,1,20,1,2,6,3,3,1,1,11,5,1,-195,99,-32,57,-29,-10,14,18,-41,-2
34,1,3,55,94,4,198,5,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,109,1,17,4,3,5,6,2,1,2,4,13,0,-197,104,-37,59,-31,-2,2,20,-33,-2
29,1,3,49,90,6,237,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,106,0,18,2,1,4,7,3,1,2,8,11,1,-191,95,-32,55,-31,0,4,23,-39,-2
37,2,3,53,88,3,282,5,-38,5,1,1,0,0,1,0,0,-1,0,0,0,1,114,2,23,1,2,2,3,3,0,3,3,4,1,-204,109,-27,54,-34,-7,8,17,-33,-2
29,1,3,52,95,2,195,4,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,105,3,13,2,3,3,5,4,1,3,9,11,1,-186,77,-16,47,-21,-6,11,11,-27,-2
28,1,3,49,93,2,229,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,114,5,19,2,2,2,3,3,2,2,4,5,1,-184,81,-23,55,-30,-8,9,18,-32,-2
40,1,3,60,96,19,224,6,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,128,2,17,3,4,7,6,2,1,3,8,9,1,-202,110,-33,64,-43,-5,8,19,-35,-2
34,1,3,57,99,5,173,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,109,1,15,2,3,4,6,5,1,1,6,13,2,-188,81,-17,54,-33,0,3,18,-28,-2
39,2,3,56,93,11,341,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,133,3,20,1,4,9,2,3,1,1,8,4,1,-191,83,-9,45,-30,-6,7,18,-27,-2
36,1,3,56,94,9,256,5,-38,6,1,1,0,1,1,0,0,-1,0,0,0,1,107,4,13,2,3,7,5,3,1,2,12,5,1,-190,86,-21,56,-34,-2,4,18,-26,-2
38,1,3,55,88,14,180,6,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,100,1,16,3,2,6,8,4,1,1,8,12,1,-208,113,-13,36,-35,-6,14,14,-23,-2
35,1,3,59,109,3,184,4,-38,5,1,1,1,1,1,0,0,0,0,0,0,1,111,3,14,2,6,4,4,8,1,2,2,10,3,-181,76,-18,48,-21,-12,7,16,-26,-2
32,1,3,60,109,6,188,5,-38,5,1,1,0,1,1,1,0,-1,0,0,0,1,107,1,20,2,2,7,4,3,1,3,9,8,1,-177,69,-25,67,-36,-4,1,23,-29,-2
33,1,3,52,91,11,179,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,112,1,19,2,2,7,5,4,1,2,6,8,2,-199,105,-26,54,-39,-3,11,13,-32,-2
33,1,3,52,89,2,166,5,-38,6,1,1,0,1,1,0,0,0,0,0,0,1,104,2,13,2,5,4,12,3,1,2,2,17,1,-193,80,-10,60,-50,9,4,19,-29,-2
33,1,3,55,98,8,205,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,111,1,19,1,2,7,4,2,1,2,9,8,1,-190,93,-33,64,-39,-5,5,24,-34,-2
33,1,3,57,100,3,219,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,106,3,18,1,7,5,4,4,1,4,6,4,2,-181,82,-34,56,-22,-4,-1,20,-30,-2
32,1,3,58,101,4,214,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,109,7,14,1,4,4,5,3,1,2,3,13,2,-184,75,-11,44,-23,-10,6,16,-21,-2
31,1,3,59,109,8,187,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,102,1,16,2,1,5,6,2,1,1,10,7,1,-174,68,-28,54,-18,-3,-4,20,-25,-2
30,1,3,56,103,4,190,5,-39,5,1,1,0,1,1,1,0,0,0,0,0,1,102,2,18,2,3,6,3,4,1,2,10,4,1,-180,76,-27,54,-23,-4,-1,19,-23,-2
30,1,3,52,89,10,243,4,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,105,1,14,1,3,6,6,4,1,1,11,11,2,-195,95,-21,44,-22,-6,9,14,-25,-2
29,1,3,51,96,8,191,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,112,2,21,1,1,5,4,2,1,1,8,4,1,-191,94,-24,45,-24,-12,9,18,-31,-2
31,1,3,62,105,4,232,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,111,2,17,1,2,4,5,3,1,2,7,7,2,-176,75,-23,35,-11,-7,12,9,-26,-2
