Time,Angry,ConcentrationLevel,Embarrassment,Excitement,Hesitation,ImaginationActivity,IntensiveThinking,Content,SAF,Upset,ExtremeState,Stress,Uncertainty,Energy,BrainPower,EmoCogRatio,MaxAmpVol,VoiceEnergy,Unknown,Valence,Arousal
16:22:03.50,0,10,0,23,15,1,0,8,0,0,0,4,5,2,551,63,10510,24,?,-2,1
16:22:08.63,0,0,21,16,17,1,7,1,1,0,0,8,9,2,548,48,8080,21,?,-2,-1
16:22:12.95,0,15,0,22,17,8,12,7,0,0,1,8,9,2,528,41,7392,70,?,-1,-2
16:22:18.15,0,4,0,15,19,6,14,0,5,0,2,8,15,1,609,37,12115,30,?,-2,-1
16:22:24.07,0,11,0,13,17,1,16,0,0,2,0,14,15,2,499,28,11323,22,?,-2,-1
16:22:31.21,0,10,0,18,15,0,0,3,10,0,4,0,0,6,487,72,7521,21,?,-1,-2
16:22:39.32,0,11,0,14,19,4,30,0,7,1,3,9,19,2,565,20,5883,23,?,-1,-2
16:22:44.62,0,8,0,30,19,10,22,20,0,0,3,6,0,11,736,66,21849,24,?,0,0
16:22:48.51,0,0,0,15,10,8,12,0,0,0,2,10,20,1,570,28,10556,33,?,-2,-1
16:22:53.62,0,1,0,26,15,4,15,13,6,0,1,4,13,5,722,58,4399,22,?,-1,-2
16:23:08.81,0,0,14,30,17,3,3,16,0,0,0,0,9,4,730,80,15030,20,?,-2,1
16:23:37.14,0,15,0,19,15,3,10,4,0,0,0,2,15,2,640,50,12791,27,?,-2,-1
16:23:41.62,0,6,0,24,12,1,0,9,4,0,2,0,7,3,671,84,10360,23,?,-2,1
16:24:00.14,0,14,0,16,10,1,4,1,9,0,2,2,4,2,527,56,7895,20,?,-1,-2
16:24:13.33,0,0,7,10,15,0,6,0,2,5,0,6,18,1,507,25,8955,22,?,-2,-1
16:24:19.68,0,3,0,16,12,1,10,1,2,0,0,10,15,2,550,39,16286,23,?,-2,1
16:24:37.75,13,6,0,30,12,0,0,0,0,0,1,0,0,10,741,169,12861,23,?,-2,1
16:24:40.96,0,8,0,18,17,1,0,3,0,0,0,0,3,3,552,68,12372,20,?,-2,1
16:26:19.67,0,7,0,13,17,4,9,0,7,2,2,6,15,1,494,32,6914,21,?,-1,-2
16:26:22.67,0,30,0,15,17,0,11,0,0,0,2,4,8,4,502,39,8613,21,?,-2,-1
16:26:33.99,0,0,30,20,17,6,9,2,0,0,0,12,14,2,639,53,11179,23,?,-2,-1
16:26:37.59,0,0,7,28,10,1,2,6,0,0,0,2,8,3,618,66,4515,24,?,-1,-2
16:26:40.91,0,0,14,15,15,7,5,0,3,0,0,8,14,1,513,39,8481,20,?,-2,-2
16:26:44.02,0,0,0,10,13,5,6,0,0,5,0,4,15,1,465,27,7213,22,?,-2,-1
16:26:48.48,0,0,14,15,19,5,4,0,0,0,0,7,15,2,557,42,8165,21,?,-2,-1
16:26:51.59,0,0,0,20,17,1,3,5,0,0,0,2,15,2,644,50,7676,22,?,-2,-1
16:26:54.80,0,0,14,15,23,4,12,0,1,0,0,6,15,3,601,40,4886,20,?,-2,-1
16:26:59.91,0,0,0,15,17,0,7,0,3,0,2,12,15,1,572,42,10025,30,?,-2,-1
16:27:07.86,0,0,7,16,15,5,14,1,0,0,0,8,19,1,564,28,5408,22,?,-2,-1
16:27:23.08,0,2,0,15,21,6,2,0,4,0,0,6,6,2,518,53,9944,23,?,-2,-2
16:27:28.40,0,16,0,23,13,6,7,9,10,0,4,1,15,5,703,60,9518,21,?,-1,-2
16:27:42.88,0,0,0,17,15,0,8,2,0,0,0,6,16,2,631,44,4690,22,?,-2,-1
16:27:47.29,0,0,7,15,19,3,7,0,3,0,0,6,17,1,610,39,10243,21,?,-2,-1
16:27:52.39,0,17,0,26,15,0,0,0,4,0,7,0,0,4,621,114,9187,22,?,-1,1
16:27:56.40,0,3,0,27,19,2,2,15,6,0,6,6,8,4,718,82,11170,21,?,-1,1
16:28:02.61,0,7,0,17,17,6,4,2,5,0,3,7,15,1,545,40,14768,20,?,-2,1
16:28:21.61,0,30,0,19,17,0,0,4,13,0,3,0,1,3,552,79,16528,21,?,2,1
16:28:25.61,0,23,0,12,15,2,8,0,0,3,0,7,15,1,470,29,5065,20,?,-2,-1
16:28:30.76,0,0,0,21,10,3,15,4,2,0,5,0,0,7,537,59,7750,21,?,-2,-2
16:28:34.75,0,1,0,25,17,0,0,10,4,0,1,0,3,3,633,83,5891,24,?,-1,-2
16:30:13.97,0,18,0,13,19,11,20,0,0,2,4,13,15,1,488,26,12317,23,?,-2,-1
16:31:13.90,0,5,0,15,12,1,6,0,0,0,0,4,15,4,571,41,5869,22,?,-2,-1
16:32:55.66,0,0,0,30,17,1,0,15,2,0,0,3,5,13,703,93,5046,22,?,-1,-2
16:33:03.77,11,0,0,30,15,0,0,0,0,0,4,0,0,9,760,177,10639,22,?,-2,1
16:33:33.55,0,0,21,15,19,2,3,0,0,0,0,4,15,2,568,42,5078,20,?,-2,-1
16:33:50.65,0,2,0,28,21,0,0,0,0,0,0,4,2,4,685,97,6824,20,?,-1,0
16:33:55.85,0,0,0,24,12,2,3,9,0,0,0,2,14,2,617,55,9763,28,?,-2,-1
16:33:59.76,5,0,7,30,19,5,0,0,0,0,0,4,1,8,853,124,20523,21,?,-1,2
16:34:17.08,0,11,0,30,12,2,1,0,0,0,0,3,0,8,730,103,16505,23,?,-2,2
16:34:20.51,0,0,21,26,19,0,0,0,2,0,3,0,0,13,551,120,16412,24,?,-2,1
16:34:25.02,0,0,0,28,19,5,3,15,3,0,1,4,0,6,658,91,16643,30,?,2,0
16:34:28.44,4,0,0,30,15,1,0,0,0,0,0,0,0,8,749,136,17493,20,?,2,2
16:34:31.87,11,0,0,30,15,0,0,0,2,0,2,0,0,13,757,173,16730,21,?,2,2
16:34:36.33,0,3,0,27,17,3,4,5,0,0,4,4,7,10,605,63,5116,20,?,-1,-2
16:34:45.46,0,0,7,27,15,4,4,10,0,0,0,2,0,5,623,82,9152,22,?,-1,0
16:34:48.40,4,0,0,30,17,0,0,0,0,0,0,1,0,9,696,141,16952,22,?,2,2
16:34:54.90,13,21,0,30,15,0,0,0,0,0,9,0,0,21,816,188,16781,26,?,2,2
16:35:20.55,0,30,0,14,19,12,16,0,0,1,5,14,11,5,485,31,17033,21,?,0,1
16:35:55.92,0,1,0,24,21,0,0,5,0,0,0,4,7,3,606,72,5349,20,?,-1,-2
16:36:01.03,6,11,0,30,17,2,0,0,0,0,8,4,4,10,857,125,18171,21,?,0,2
16:36:04.27,15,3,0,30,15,0,0,0,0,0,0,0,0,7,827,198,16617,20,?,-2,1
16:36:24.81,0,0,21,26,19,3,1,11,0,0,0,0,0,10,622,89,5369,21,?,-1,-2
16:36:41.19,5,0,14,30,12,0,0,0,0,0,0,0,0,13,705,151,16452,22,?,-2,1
16:36:44.90,0,0,14,23,19,0,0,7,2,0,6,0,0,8,513,100,6189,26,?,-1,-2
16:36:59.43,17,0,7,30,19,0,0,0,0,0,6,0,0,11,824,230,10818,21,?,-2,-1
16:37:05.86,0,0,0,22,15,0,0,0,2,0,0,0,0,20,504,124,11229,56,?,-2,0
16:37:19.94,0,0,14,19,15,0,0,0,0,0,1,0,0,5,475,87,6232,20,?,-2,-2
16:37:24.78,0,1,0,30,21,0,0,0,0,0,3,0,0,16,580,121,11719,21,?,-2,1
16:37:36.85,0,1,0,22,17,0,3,5,0,0,0,0,0,9,567,78,9482,25,?,-2,1
16:37:41.88,0,0,0,20,17,0,0,4,1,0,0,0,0,6,544,86,4418,61,?,-1,-2
16:37:46.50,0,7,0,24,15,0,0,8,3,0,4,0,0,14,536,104,10480,21,?,-1,1
16:37:50.94,0,1,7,30,8,1,3,19,0,0,0,0,0,9,642,109,9304,24,?,-1,0
16:37:55.43,11,0,21,30,12,0,0,0,0,0,5,0,0,13,657,179,7883,21,?,-2,0
16:37:58.65,0,2,0,23,10,7,11,8,3,0,1,3,6,3,645,61,8551,20,?,-2,-2
16:38:13.88,0,1,0,19,17,0,0,0,4,0,0,0,0,4,520,91,8596,22,?,-1,-2
16:38:19.23,0,0,0,28,19,0,0,0,0,0,3,0,0,12,591,132,8164,27,?,-1,0
16:38:32.69,0,0,14,28,21,0,0,13,0,0,0,0,1,7,679,106,4150,22,?,-1,-2
16:38:39.38,0,1,7,24,15,0,0,8,2,0,0,1,0,5,597,96,4413,20,?,-1,-2
16:38:45.34,0,0,30,22,12,0,0,6,0,0,1,0,0,15,533,105,5439,23,?,-1,-2
16:38:52.61,0,5,0,16,15,5,13,1,0,0,0,11,30,1,799,32,10958,22,?,-2,-1
16:38:59.94,0,0,0,30,12,0,0,15,0,0,2,0,0,6,649,109,4743,21,?,-1,-2
16:39:05.23,0,0,7,23,12,0,0,5,0,0,2,0,0,12,513,92,9232,21,?,-2,1
16:39:09.60,0,0,7,20,12,1,0,2,0,0,0,1,0,4,543,84,4277,21,?,-1,-2
16:39:22.88,0,6,0,30,17,0,0,0,0,0,0,0,0,7,827,121,6717,26,?,-2,-1
16:39:31.40,0,0,7,20,17,0,1,3,1,0,0,5,3,4,575,70,9975,25,?,-2,-1
16:39:36.29,0,0,0,23,10,0,3,4,2,0,1,1,0,14,525,71,7712,20,?,-1,-2
