Time,Angry,ConcentrationLevel,Embarrassment,Excitement,Hesitation,ImaginationActivity,IntensiveThinking,Content,SAF,Upset,ExtremeState,Stress,Uncertainty,Energy,BrainPower,EmoCogRatio,MaxAmpVol,VoiceEnergy,Unknown,Valence,Arousal
17:06:50.67,0,2,0,21,15,0,0,0,0,0,0,2,0,4,519,82,8571,21,?,-2,-2
17:06:53.33,0,5,0,28,12,1,3,15,5,0,5,0,0,13,555,111,16610,22,?,2,1
17:06:56.44,3,0,0,30,13,0,0,0,2,0,0,0,0,8,668,127,8091,24,?,-1,0
17:07:01.64,9,0,28,29,15,0,0,0,0,0,0,0,0,13,600,173,7551,23,?,-1,0
17:07:05.58,0,0,28,26,17,0,0,0,1,0,0,0,0,6,595,121,9970,22,?,-2,0
17:07:25.95,0,8,0,15,19,9,7,0,0,0,0,6,14,2,528,39,16340,23,?,-2,1
17:07:41.90,0,0,7,23,17,1,0,6,1,0,0,3,0,5,586,96,13709,21,?,-2,1
17:07:48.02,0,0,0,24,19,2,5,5,0,0,0,6,8,4,637,65,6398,22,?,-1,-2
17:08:03.97,0,0,7,28,8,0,2,11,0,0,3,0,0,9,525,104,9363,27,?,-1,1
17:08:07.79,0,0,0,26,17,2,0,8,3,0,5,0,0,11,496,98,11212,20,?,-1,1
17:08:10.93,0,0,0,24,12,0,0,9,1,0,0,0,0,15,550,109,13361,21,?,-2,0
17:08:25.54,7,0,30,29,15,0,0,0,0,0,3,0,0,20,596,168,5155,24,?,-1,-2
17:08:29.99,0,0,21,16,15,0,0,1,0,0,0,1,0,3,494,75,8320,20,?,-2,-1
17:08:33.21,0,5,0,30,17,0,0,0,0,0,2,0,0,8,547,119,8353,27,?,-1,-2
17:08:36.43,0,0,14,27,12,0,0,9,0,0,0,0,0,6,558,105,8415,20,?,-1,-2
17:08:52.96,3,0,14,30,17,0,0,0,0,0,0,2,0,6,643,129,11043,27,?,-1,1
17:09:00.27,5,0,21,30,15,0,0,0,0,0,0,0,0,8,760,142,9690,22,?,-2,-1
17:09:05.55,0,2,0,30,21,3,3,9,0,0,0,4,3,5,641,75,12304,24,?,-1,1
17:09:20.04,0,0,7,18,15,0,0,0,0,0,0,0,0,6,468,101,7678,27,?,-2,-2
17:09:25.06,0,2,0,30,17,0,0,0,0,0,3,0,0,14,549,115,16207,25,?,2,1
17:09:43.01,0,0,0,23,17,0,0,0,1,0,0,4,0,7,592,96,12519,21,?,-2,0
17:09:46.34,1,0,0,30,15,0,0,0,2,0,0,1,0,6,651,121,10434,21,?,-1,0
17:09:50.79,5,0,21,28,15,0,0,0,2,0,2,0,0,9,611,144,6555,22,?,-1,-2
17:09:57.92,3,0,0,30,17,0,0,0,0,0,9,0,0,6,682,139,12248,30,?,-2,1
17:11:54.74,0,5,0,24,15,9,14,6,0,0,0,10,12,6,690,55,6571,23,?,-1,-1
