Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12
alex_angry.wav,54,11,2,95,125,40,280,8,-34,4,-0,0,-0,0,0,0,-0,-1,-1,0,0,1,202,5,9,6,9,11,4,6,1,4,4,3,2,
alex_angry.wav,64,15,2,99,123,36,414,9,-34,4,-0,0,-1,0,1,0,-0,-1,-1,0,0,1,224,3,9,6,5,10,8,3,1,2,3,3,2,
alex_angry.wav,53,10,3,102,154,38,386,7,-35,4,0,0,0,1,0,0,-0,-1,-0,0,1,1,147,3,8,2,4,8,11,4,1,2,4,4,1,
alex_angry.wav,76,13,3,122,157,45,373,8,-34,4,0,-0,-0,1,0,0,-0,-1,-0,-0,-0,1,223,7,9,2,4,9,7,6,2,2,2,10,5,
alex_angry.wav,71,17,3,108,129,45,291,9,-32,4,-0,0,-0,1,1,0,-0,-1,-1,-0,0,1,260,6,10,5,11,4,4,7,4,2,5,5,3,
alex_angry.wav,58,12,3,93,119,38,470,8,-34,4,0,0,-0,1,1,0,-0,-0,-1,-0,-0,1,185,9,10,3,3,7,6,9,2,2,4,6,3,
alex_angry.wav,49,6,3,89,140,21,388,6,-36,4,0,0,-0,1,1,0,-0,-1,-0,0,0,1,137,7,8,3,9,8,3,5,2,3,4,7,3,
alex_angry.wav,65,12,3,101,122,36,499,9,-34,4,-0,-0,-0,1,1,0,-0,-1,-1,0,0,1,240,4,8,4,4,13,9,2,3,4,4,3,1,
alex_angry.wav,47,5,2,79,115,34,279,7,-36,5,0,0,-0,1,1,0,-0,-1,-0,0,0,1,180,5,7,4,6,12,4,7,3,6,7,6,1,
alex_angry.wav,50,4,3,78,109,22,276,7,-36,5,0,0,-0,1,1,0,-0,-1,-0,0,0,1,122,4,11,4,11,11,8,8,1,4,3,3,2,
