-2,0,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,0,2,0,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,0,-1,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,0,-2,2,-1,2,Angry
-2,0,-1,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
0,2,-2,0,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
0,2,2,2,-1,2,Angry
-2,0,-2,2,-1,2,Angry
-2,2,2,2,-1,2,Angry
-2,0,2,2,-1,2,Angry
-2,2,-2,2,-1,2,Angry
-2,-1,-2,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-1,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,-1,-2,-1,Sad
-2,-1,-2,2,-2,-1,Sad
-2,-1,-1,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-1,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,2,2,-2,-1,Sad
-2,-1,-2,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,2,-2,-1,Sad
-2,-1,2,2,-2,-1,Sad
-2,-1,-1,2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-2,-1,-2,-1,Sad
-2,-1,-2,-2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-1,0,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-2,-1,-2,-1,Sad
-2,-1,-2,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
-2,-1,-2,-2,-2,-1,Sad
-2,-1,-2,0,-2,-1,Sad
-2,-1,-1,-2,-2,-1,Sad
2,0,2,0,2,2,Excited
2,2,2,2,2,2,Excited
0,2,2,2,2,2,Excited
0,2,2,2,2,2,Excited
0,2,2,2,2,2,Excited
2,2,2,0,2,2,Excited
-1,2,2,0,2,2,Excited
2,2,2,2,2,2,Excited
2,2,2,0,2,2,Excited
0,2,2,2,2,2,Excited
2,2,2,2,2,2,Excited
-1,2,2,2,2,2,Excited
-1,2,2,2,2,2,Excited
-1,2,-1,0,2,2,Excited
2,2,-2,0,2,2,Excited
0,2,2,0,2,2,Excited
-1,2,2,2,2,2,Excited
0,2,2,2,2,2,Excited
2,2,-2,0,2,2,Excited
2,2,2,2,2,2,Excited
2,2,2,2,2,2,Excited
0,2,-1,0,2,2,Excited
2,0,2,2,2,2,Excited
0,2,2,2,2,2,Excited
0,2,2,2,2,2,Excited
2,2,2,0,2,2,Excited
2,0,-1,0,2,2,Excited
0,2,2,2,2,2,Excited
0,2,-2,-2,2,2,Excited
2,2,2,2,2,2,Excited
2,2,-1,0,2,2,Excited
2,0,2,2,2,2,Excited
2,0,-2,0,2,2,Excited
2,2,-2,0,2,2,Excited
-1,2,2,2,2,2,Excited
2,1,-2,0,2,2,Excited
0,2,2,2,2,2,Excited
2,0,2,2,2,2,Excited
