00:37:03.96,3,1,0,30,17,2,0,0,4,0,3,4,0,11,690,121,18394,66,?,2,2
00:37:07.85,6,30,0,30,15,0,0,0,0,0,9,4,4,5,760,130,18265,26,?,2,2
00:37:11.03,0,7,0,21,19,10,4,6,6,0,5,7,6,5,631,75,17542,22,?,2,0
00:37:14.15,1,5,0,30,13,9,8,0,0,0,3,12,9,5,770,84,20198,25,?,-1,2
00:37:17.29,0,4,0,20,15,7,11,4,0,0,0,6,2,8,596,64,16838,41,?,2,2
00:37:20.45,5,1,0,30,12,1,0,0,0,0,0,6,6,4,744,111,18506,22,?,2,2
00:37:23.64,0,22,0,20,15,8,4,5,10,0,3,10,4,5,598,74,17858,21,?,2,0
00:37:26.89,0,29,0,16,17,3,4,1,0,0,3,10,15,22,615,56,18021,42,?,-1,2
00:37:29.99,0,4,0,25,19,3,8,14,5,0,1,10,0,8,654,84,16948,40,?,2,0
00:37:32.99,7,2,7,30,17,1,2,0,0,0,4,7,0,11,823,130,18021,32,?,2,2
00:37:37.45,0,0,21,27,12,0,0,13,0,0,0,2,5,4,699,98,17249,223,?,2,0
00:37:40.59,3,1,0,29,19,6,2,0,0,0,0,9,5,9,724,96,17843,23,?,2,2
00:37:43.79,1,4,0,25,19,3,0,0,0,0,0,6,2,6,675,102,17702,45,?,2,2
00:37:46.91,0,21,0,18,17,4,4,3,0,0,0,4,8,5,598,65,16831,20,?,2,0
00:37:50.11,7,2,0,30,15,0,4,0,4,0,3,9,3,6,842,114,19004,21,?,2,2
00:37:53.31,3,11,0,30,15,8,6,0,0,0,6,8,0,18,793,110,18895,21,?,-1,2
00:37:58.59,3,9,0,30,19,12,8,0,0,0,6,10,9,7,842,93,19928,21,?,-1,2
00:38:02.48,0,30,0,17,15,5,9,2,0,0,0,8,2,3,532,57,16605,48,?,-2,0
00:38:05.76,5,10,0,30,17,0,0,0,0,0,1,0,0,18,706,154,16964,24,?,2,2
