00:06:07.25,13,8,0,30,17,0,0,0,11,0,4,0,0,8,801,180,17967,20,?,2,2
00:06:10.33,7,1,7,30,17,3,0,0,5,0,1,8,14,3,844,107,19223,23,?,2,2
00:06:14.86,3,2,0,30,17,7,0,0,2,0,0,8,14,3,768,91,18481,63,?,2,2
00:06:18.06,6,0,0,30,17,6,0,0,0,0,0,8,6,5,801,112,19757,26,?,-1,2
00:06:21.35,3,0,7,29,19,3,0,0,3,0,2,5,5,6,717,107,18019,106,?,2,2
00:06:24.53,0,25,0,22,12,7,2,0,0,0,0,10,9,3,663,79,17391,131,?,2,2
00:06:27.64,5,0,14,30,17,6,3,0,0,0,3,7,0,10,790,116,19050,22,?,-1,2
00:06:30.95,0,25,0,30,17,8,15,22,13,0,10,4,2,15,752,81,17083,21,?,2,0
00:06:35.36,3,10,0,26,21,2,0,0,0,0,0,8,1,5,659,99,18230,20,?,2,2
00:06:38.49,7,20,0,30,19,0,0,0,10,0,5,2,6,7,889,155,18444,280,?,2,2
00:06:41.60,0,9,0,20,17,8,3,4,0,0,0,8,0,5,576,81,18320,27,?,-1,2
00:06:44.82,6,0,0,28,21,3,0,0,3,0,2,9,7,4,735,104,17278,21,?,2,2
00:06:47.95,4,7,0,29,15,0,0,0,6,0,3,0,0,11,697,141,16901,83,?,2,2
00:06:52.40,3,9,0,26,12,1,0,0,6,0,0,7,6,4,706,98,19294,22,?,2,2
00:06:55.53,0,4,0,18,15,6,0,0,0,0,0,6,8,3,588,72,16940,28,?,2,2
00:06:58.67,0,12,0,25,15,0,0,0,0,0,0,1,13,4,744,102,17238,111,?,2,2
00:07:01.86,0,4,0,26,21,5,2,0,0,0,0,6,0,7,665,102,18449,22,?,2,2
