
Veronica, 12, Daily Companion End of Day, 2016-02-18_16-18-32 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455830316.86, 2016-02-18_16-18-36, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830346.2, 2016-02-18_16-19-06, 2, dayEndGood, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830349.23, 2016-02-18_16-19-09, 4, askWeekend, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830378.84, 2016-02-18_16-19-38, 5, askWeekendYes, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830381.89, 2016-02-18_16-19-41, 7, meal1IfSuggested, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830381.89, 2016-02-18_16-19-41, 15, checkEdgeSafety1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830403.16, 2016-02-18_16-20-03, 16, tellJoke_Statement1, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830414.8, 2016-02-18_16-20-14, 17, meal2CheckinLunch, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830442.63, 2016-02-18_16-20-42, 21, meal2CheckinNoAte, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455830465.24, 2016-02-18_16-21-05, 22, meal2CheckinNoAteYesComp, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830494.04, 2016-02-18_16-21-34, 23, meal2CheckinNoAteYesCompYesResp, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830500.3, 2016-02-18_16-21-40, 26, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830521.02, 2016-02-18_16-22-01, 35, meal3CheckinNoHad, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830532.01, 2016-02-18_16-22-12, 36, checkEdgeSafety2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830555.56, 2016-02-18_16-22-35, 37, tellJoke_Statement2, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830573.87, 2016-02-18_16-22-53, 38, exerciseCheckin, 3, 8, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0]
1455830598.42, 2016-02-18_16-23-18, 39, exerciseCheckinYesDid, 0, 0, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1455830624.83, 2016-02-18_16-23-44, 40, exerciseCheckinYesDidGoodDiff, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
1455830629.49, 2016-02-18_16-23-49, 50, dayEndEnd, 1, 6, [2.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 2.0]
