User Name,User Number,Interaction Type,Interaction Date Time
Test User, 1, Daily Companion End of Day, 2016-01-11_18-35-36 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-36-30 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-37-15 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-38-14 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-40-21 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-46-11 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-55-10 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-55-36 
Test User, 1, Daily Companion End of Day, 2016-01-11_18-56-55 
Test User, 1, Daily Companion End of Day, 2016-01-11_19-00-38 
Test User, 1, Daily Companion End of Day, 2016-01-11_19-05-41 
Test User, 1, Daily Companion End of Day, 2016-01-11_19-07-25 
Test User, 1, Daily Companion End of Day, 2016-01-11_19-08-23 
Test User, 1, Daily Companion End of Day, 2016-01-11_19-09-59 
Test User, 1, Daily Companion End of Day, 2016-01-12_10-20-41 
Test User, 1, Daily Companion End of Day, 2016-01-12_10-24-48 
Test User, 1, Daily Companion End of Day, 2016-01-12_10-38-14 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-00-16 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-06-29 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-08-51 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-14-58 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-16-06 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-20-28 
Test User, 1, Daily Companion End of Day, 2016-01-12_11-24-04 
Test User, 1, Daily Companion Morning, 2016-01-13_12-32-08 
Test User, 1, Daily Companion Morning, 2016-01-13_12-34-23 
Test User, 1, Daily Companion Morning, 2016-01-13_13-01-08 
Test User, 1, Daily Companion Morning, 2016-01-13_13-04-38 
Test User, 1, Daily Companion Morning, 2016-01-13_13-06-43 
Test User, 1, Daily Companion Morning, 2016-01-14_12-10-01 
Test User, 1, Daily Companion Morning, 2016-01-14_14-26-57 
Test User, 1, Daily Companion Morning, 2016-01-14_14-47-30 
Test User, 1, Daily Companion Morning, 2016-01-14_14-48-10 
Test User, 1, Daily Companion Morning, 2016-01-14_14-52-00 
Test User, 1, Daily Companion Morning, 2016-01-14_14-52-12 
Test User, 1, Daily Companion Morning, 2016-01-14_14-52-27 
Test User, 1, Daily Companion Morning, 2016-01-14_14-57-57 
Test User, 1, Daily Companion Morning, 2016-01-14_15-03-41 
Test User, 1, Daily Companion Morning, 2016-01-14_15-05-55 
Test User, 1, Daily Companion Morning, 2016-01-14_15-06-12 
Test User, 1, Daily Companion Morning, 2016-01-14_15-06-49 
Test User, 1, Daily Companion Morning, 2016-01-14_15-07-09 
Test User, 1, Daily Companion Morning, 2016-01-14_15-08-24 
Test User, 1, Daily Companion Morning, 2016-01-14_15-14-00 
Test User, 1, Daily Companion Morning, 2016-01-14_15-20-04 
Test User, 1, Daily Companion Morning, 2016-01-14_15-25-10 
Test User, 1, Daily Companion Morning, 2016-01-14_15-31-28 
Test User, 1, Daily Companion Morning, 2016-01-14_15-34-19 
Test User, 1, Daily Companion Morning, 2016-01-14_15-35-38 
Test User, 1, Daily Companion Morning, 2016-01-14_15-35-56 
Test User, 1, Daily Companion Morning, 2016-01-14_15-40-06 
Test User, 1, Daily Companion Morning, 2016-01-14_15-40-24 
Test User, 1, Daily Companion Morning, 2016-01-14_15-42-35 
Test User, 1, Daily Companion Morning, 2016-01-14_15-47-57 
Test User, 1, Daily Companion Morning, 2016-01-14_16-00-58 
Test User, 1, Daily Companion Morning, 2016-01-14_16-01-22 
Test User, 1, Daily Companion Morning, 2016-01-14_16-20-00 
